sl.no.,Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
57,0.93,-0.09,-0.09,-0.41,-0.21,0.32,-0.02,-0.15
58,-0.22,-0.10,0.07,-0.22,-0.10,0.16,-0.03,-0.15
59,-0.66,-0.10,-0.29,-0.04,-0.12,-0.10,-0.04,-0.16
60,-1.54,-0.10,0.16,0.20,-0.27,-0.39,-0.06,-0.16
61,-0.03,-0.10,-0.35,0.44,-0.39,-0.63,-0.09,-0.17
62,-0.66,-0.10,0.75,0.53,-0.33,-0.79,-0.12,-0.18
63,-0.43,-0.10,-0.34,0.48,-0.01,-0.84,-0.13,-0.19
64,-1.53,-0.10,0.11,0.27,0.50,-0.81,-0.14,-0.19
65,-0.43,-0.10,-0.52,-0.16,0.96,-0.73,-0.14,-0.18
66,-0.03,-0.10,0.43,-0.73,1.17,-0.57,-0.16,-0.18
67,-0.22,-0.10,0.18,-0.91,1.01,-0.35,-0.20,-0.16
68,0.79,-0.10,-0.41,-0.24,0.48,-0.09,-0.26,-0.15
69,0.49,-0.10,0.34,0.58,-0.23,0.16,-0.32,-0.14
70,0.33,-0.10,-0.13,0.53,-0.95,0.36,-0.38,-0.13
71,-0.03,-0.10,-0.07,-0.08,-1.43,0.50,-0.43,-0.13
72,-0.22,-0.10,-0.03,-0.23,-1.47,0.62,-0.46,-0.13
73,0.64,-0.10,-0.12,0.00,-1.07,0.73,-0.49,-0.13
74,-0.03,-0.10,0.46,0.07,-0.30,0.81,-0.51,-0.14
75,0.15,-0.10,-0.33,0.17,0.53,0.84,-0.51,-0.14
76,-0.66,-0.10,0.14,0.32,1.12,0.80,-0.48,-0.14
77,0.49,-0.10,-0.40,0.11,1.28,0.70,-0.43,-0.14
78,0.79,-0.10,0.43,-0.32,1.01,0.55,-0.38,-0.13
79,1.33,-0.11,-0.02,-0.44,0.51,0.38,-0.34,-0.11
80,0.33,-0.11,0.17,-0.07,0.01,0.18,-0.30,-0.09
81,0.79,-0.12,-0.52,0.30,-0.33,-0.06,-0.27,-0.07
82,0.64,-0.13,0.25,0.15,-0.50,-0.29,-0.23,-0.05
83,0.15,-0.13,0.13,-0.30,-0.60,-0.49,-0.17,-0.03
84,-0.03,-0.13,-0.17,-0.31,-0.60,-0.60,-0.09,-0.02
85,-0.92,-0.14,0.13,0.22,-0.53,-0.62,0.01,-0.01
86,-0.43,-0.14,-0.30,0.51,-0.32,-0.53,0.11,0.00
87,-1.53,-0.14,0.46,0.15,0.03,-0.37,0.21,0.01
88,-0.66,-0.14,-0.48,-0.17,0.32,-0.17,0.31,0.02
89,-0.43,-0.15,0.30,-0.09,0.52,0.02,0.41,0.03
90,-0.66,-0.15,0.14,-0.02,0.54,0.19,0.49,0.04
91,-0.92,-0.15,-0.17,-0.10,0.41,0.29,0.55,0.04
92,-1.93,-0.16,0.05,-0.11,0.24,0.32,0.59,0.05
93,-1.53,-0.16,-0.34,-0.08,0.03,0.27,0.61,0.05
94,-0.92,-0.16,0.19,-0.19,-0.17,0.13,0.61,0.06
95,-0.43,-0.16,0.20,-0.14,-0.34,-0.06,0.62,0.05
96,-0.22,-0.16,0.00,0.26,-0.43,-0.26,0.64,0.04
97,-0.43,-0.16,-0.05,0.53,-0.37,-0.39,0.65,0.02
98,-0.03,-0.16,-0.21,0.28,-0.19,-0.43,0.67,0.00
99,-0.44,-0.15,0.23,-0.31,0.08,-0.38,0.66,-0.03
100,-0.66,-0.15,-0.10,-0.62,0.33,-0.28,0.64,-0.05
101,-0.43,-0.15,-0.11,-0.25,0.46,-0.16,0.58,-0.07
102,-0.03,-0.14,0.09,0.30,0.46,-0.02,0.51,-0.08
103,0.49,-0.14,0.06,0.41,0.30,0.12,0.42,-0.09
104,-0.03,-0.14,0.18,0.21,0.03,0.23,0.31,-0.09
105,0.79,-0.13,-0.42,0.08,-0.25,0.28,0.20,-0.09
106,0.49,-0.13,0.33,-0.05,-0.47,0.23,0.08,-0.09
107,0.64,-0.13,-0.13,-0.32,-0.48,0.11,-0.04,-0.09
108,-0.43,-0.12,0.17,-0.37,-0.32,-0.01,-0.15,-0.10
109,0.15,-0.11,-0.44,-0.02,-0.09,-0.11,-0.24,-0.11
110,0.79,-0.10,0.21,0.25,0.09,-0.15,-0.32,-0.12
111,0.64,-0.09,0.31,0.13,0.05,-0.16,-0.39,-0.14
112,-0.44,-0.08,-0.02,0.03,-0.09,-0.14,-0.46,-0.16
113,-2.44,-0.08,-0.13,0.21,-0.22,-0.11,-0.53,-0.17
114,-1.21,-0.07,-0.74,0.16,-0.20,-0.05,-0.59,-0.19
115,1.07,-0.06,0.41,-0.34,0.02,0.05,-0.64,-0.19
116,2.21,-0.05,0.71,-0.58,0.29,0.12,-0.68,-0.19
117,2.21,-0.05,-0.05,0.03,0.47,0.15,-0.69,-0.19
118,1.20,-0.04,-0.29,0.85,0.45,0.12,-0.69,-0.19
119,0.64,-0.03,-0.35,0.56,0.26,0.07,-0.68,-0.19
120,0.93,-0.02,-0.05,-0.84,0.02,0.05,-0.65,-0.19
121,1.07,-0.01,0.31,-1.45,-0.15,0.06,-0.59,-0.18
122,0.15,0.00,0.24,-0.27,-0.17,0.10,-0.50,-0.17
123,-0.03,0.01,-0.37,1.22,-0.09,0.13,-0.40,-0.16
124,-0.66,0.02,0.10,1.45,0.01,0.18,-0.29,-0.15
125,0.15,0.03,-0.21,0.41,0.05,0.25,-0.19,-0.13
126,-0.66,0.04,0.50,-0.73,0.03,0.35,-0.10,-0.10
127,-0.92,0.04,-0.27,-0.84,0.03,0.42,-0.03,-0.08
128,-1.93,0.05,0.04,-0.20,0.15,0.43,0.04,-0.04
129,-1.53,0.05,-0.30,0.13,0.29,0.38,0.09,0.00
130,-0.03,0.05,0.04,-0.05,0.32,0.27,0.14,0.03
131,0.15,0.06,0.55,-0.19,0.09,0.15,0.18,0.07
132,0.15,0.06,-0.17,0.08,-0.45,0.01,0.22,0.10
133,-0.22,0.07,-0.17,0.43,-0.92,-0.15,0.26,0.13
134,-0.43,0.08,-0.10,0.26,-1.06,-0.32,0.30,0.16
135,-0.03,0.09,-0.05,-0.40,-0.71,-0.46,0.36,0.18
136,0.33,0.09,0.16,-0.67,0.03,-0.56,0.40,0.20
137,0.33,0.10,0.11,-0.04,0.72,-0.60,0.42,0.21
138,-0.03,0.11,-0.04,0.67,1.06,-0.60,0.42,0.23
139,0.64,0.11,-0.28,0.65,0.99,-0.59,0.40,0.24
140,0.64,0.12,0.28,0.10,0.61,-0.57,0.36,0.25
141,0.79,0.12,-0.04,-0.43,0.22,-0.51,0.31,0.27
142,-0.66,0.13,0.20,-0.46,-0.05,-0.41,0.27,0.28
143,-0.66,0.14,-0.52,-0.02,-0.18,-0.29,0.23,0.30
144,-0.03,0.14,0.05,0.19,-0.24,-0.19,0.20,0.31
145,0.15,0.16,0.37,-0.04,-0.34,-0.08,0.18,0.32
146,0.49,0.17,-0.07,-0.12,-0.47,0.04,0.18,0.33
147,-0.44,0.18,0.13,0.24,-0.63,0.21,0.18,0.34
148,-0.66,0.19,-0.35,0.42,-0.70,0.39,0.17,0.35
149,-1.54,0.20,0.14,-0.08,-0.56,0.53,0.14,0.34
150,-1.54,0.21,-0.15,-0.62,-0.26,0.59,0.09,0.34
151,-1.21,0.22,0.07,-0.42,0.16,0.61,0.02,0.33
152,-0.66,0.23,0.10,0.19,0.50,0.62,-0.06,0.32
153,0.15,0.24,0.00,0.53,0.60,0.58,-0.13,0.31
154,0.49,0.25,0.10,0.42,0.50,0.47,-0.20,0.29
155,-0.03,0.26,0.05,0.02,0.28,0.26,-0.25,0.27
156,-0.92,0.27,-0.15,-0.37,0.10,0.01,-0.28,0.25
157,-0.44,0.28,-0.34,-0.51,0.08,-0.19,-0.30,0.22
158,-0.03,0.29,0.29,-0.34,0.15,-0.30,-0.31,0.19
159,-0.03,0.30,0.21,-0.01,0.22,-0.34,-0.32,0.16
160,-1.20,0.31,0.07,0.44,0.20,-0.35,-0.32,0.12
161,0.15,0.32,-0.70,0.78,0.01,-0.31,-0.32,0.09
162,1.45,0.33,0.38,0.43,-0.22,-0.18,-0.32,0.06
163,2.11,0.33,0.36,-0.46,-0.38,0.04,-0.32,0.02
164,1.68,0.34,-0.01,-0.72,-0.33,0.30,-0.31,-0.01
165,0.64,0.34,-0.23,-0.03,-0.08,0.48,-0.28,-0.04
166,0.15,0.34,-0.27,0.34,0.18,0.56,-0.24,-0.06
167,-0.66,0.35,0.18,-0.24,0.28,0.57,-0.17,-0.08
168,-0.66,0.35,-0.07,-0.56,0.09,0.51,-0.09,-0.10
169,-0.66,0.36,0.13,0.12,-0.28,0.38,-0.01,-0.12
170,0.33,0.36,-0.10,0.84,-0.59,0.18,0.09,-0.12
171,0.49,0.37,0.28,0.74,-0.64,-0.08,0.17,-0.13
172,-0.22,0.37,0.04,0.06,-0.37,-0.34,0.25,-0.13
173,0.15,0.37,-0.45,-0.50,0.06,-0.54,0.32,-0.13
174,0.15,0.37,0.19,-0.67,0.46,-0.68,0.37,-0.13
175,1.57,0.37,-0.15,-0.62,0.67,-0.77,0.41,-0.13
176,0.79,0.37,0.57,-0.29,0.61,-0.80,0.44,-0.14
177,0.64,0.36,-0.41,0.37,0.33,-0.75,0.47,-0.14
178,-1.93,0.36,0.28,0.79,-0.07,-0.63,0.47,-0.15
179,-0.03,0.36,-1.06,0.40,-0.46,-0.46,0.46,-0.15
180,0.49,0.35,0.89,-0.28,-0.61,-0.30,0.43,-0.16
181,1.45,0.35,0.13,-0.47,-0.45,-0.14,0.39,-0.15
182,0.93,0.35,0.09,0.06,0.02,0.02,0.35,-0.15
183,0.15,0.34,-0.28,0.72,0.59,0.20,0.29,-0.13
184,-1.54,0.34,-0.01,0.41,0.92,0.37,0.22,-0.12
185,-1.54,0.33,-0.40,-0.76,0.84,0.48,0.13,-0.10
186,-0.44,0.32,0.12,-1.12,0.39,0.54,0.04,-0.08
187,0.93,0.31,0.35,-0.20,-0.19,0.56,-0.05,-0.06
188,1.07,0.30,0.29,0.76,-0.65,0.58,-0.13,-0.05
189,1.33,0.29,-0.33,1.07,-0.82,0.56,-0.21,-0.03
190,0.79,0.28,-0.01,0.58,-0.76,0.50,-0.29,-0.01
191,0.33,0.28,-0.11,-0.59,-0.58,0.39,-0.37,0.01
192,-0.92,0.27,0.12,-1.32,-0.29,0.23,-0.44,0.03
193,-1.53,0.27,-0.20,-0.76,0.07,0.07,-0.50,0.06
194,-1.53,0.26,-0.02,0.40,0.42,-0.06,-0.54,0.08
195,-1.20,0.26,0.14,0.95,0.66,-0.17,-0.55,0.10
196,-1.93,0.26,0.28,0.74,0.58,-0.27,-0.54,0.13
197,-0.66,0.25,-0.54,0.32,0.20,-0.39,-0.52,0.14
198,0.49,0.24,0.25,-0.08,-0.19,-0.49,-0.49,0.16
199,1.33,0.23,0.21,-0.54,-0.35,-0.54,-0.45,0.16
200,0.64,0.23,0.13,-0.79,-0.13,-0.53,-0.40,0.17
201,0.33,0.22,-0.42,-0.38,0.31,-0.47,-0.34,0.16
202,-0.22,0.21,0.00,0.15,0.53,-0.40,-0.27,0.16
203,-0.22,0.20,-0.02,0.03,0.30,-0.33,-0.21,0.14
204,-1.54,0.20,0.34,-0.13,-0.27,-0.23,-0.15,0.13
205,-1.21,0.19,-0.46,0.39,-0.82,-0.08,-0.08,0.11
206,-1.21,0.19,0.23,0.85,-0.96,0.12,0.00,0.10
207,-0.92,0.18,0.06,0.53,-0.56,0.32,0.09,0.09
208,-1.54,0.17,0.14,-0.17,0.17,0.48,0.19,0.09
209,-1.20,0.16,-0.34,-0.43,0.81,0.54,0.27,0.08
210,0.64,0.15,-0.15,-0.33,1.13,0.55,0.35,0.08
211,0.33,0.14,0.73,-0.40,1.00,0.54,0.41,0.07
212,1.33,0.13,-0.50,-0.40,0.49,0.50,0.44,0.07
213,0.93,0.12,0.20,0.10,-0.15,0.42,0.46,0.06
214,1.07,0.11,-0.20,0.45,-0.77,0.26,0.47,0.04
215,0.15,0.10,0.17,0.06,-1.19,0.05,0.47,0.02
216,-0.92,0.09,-0.09,-0.28,-1.21,-0.13,0.45,0.00
217,-0.92,0.08,-0.26,0.06,-0.84,-0.21,0.42,-0.01
218,-1.93,0.08,0.39,0.40,-0.18,-0.21,0.39,-0.03
219,-3.22,0.07,-0.01,0.30,0.55,-0.17,0.36,-0.04
220,-0.92,0.06,-0.75,0.20,1.05,-0.14,0.33,-0.04
221,0.64,0.04,0.75,0.14,1.18,-0.15,0.30,-0.05
222,1.20,0.03,0.35,-0.21,0.95,-0.13,0.25,-0.06
223,1.33,0.02,-0.32,-0.45,0.51,-0.07,0.20,-0.07
224,0.64,0.01,-0.12,-0.13,0.02,-0.02,0.14,-0.08
225,1.20,0.00,-0.34,-0.15,-0.39,-0.02,0.08,-0.10
226,0.64,-0.02,0.41,-0.81,-0.69,-0.09,0.02,-0.12
227,0.64,-0.03,-0.13,-0.59,-0.90,-0.18,-0.04,-0.14
228,-0.66,-0.03,0.20,0.66,-0.93,-0.23,-0.09,-0.15
229,-0.66,-0.04,-0.39,1.30,-0.78,-0.18,-0.12,-0.17
230,-0.66,-0.05,0.14,0.81,-0.42,-0.09,-0.14,-0.17
231,-0.66,-0.06,0.15,-0.07,0.16,0.01,-0.14,-0.17
232,-0.92,-0.07,0.03,-0.54,0.73,0.09,-0.13,-0.17
233,-0.66,-0.08,-0.17,-0.35,1.21,0.15,-0.12,-0.16
234,-0.43,-0.09,0.07,-0.10,1.41,0.20,-0.11,-0.15
235,0.93,-0.10,-0.14,-0.22,1.13,0.23,-0.09,-0.14
236,2.68,-0.11,0.12,-0.34,0.54,0.22,-0.08,-0.13
237,3.43,-0.13,0.30,-0.09,-0.37,0.12,-0.08,-0.12
238,2.86,-0.14,0.01,0.20,-1.23,-0.03,-0.09,-0.12
239,1.45,-0.15,-0.24,0.23,-1.65,-0.19,-0.11,-0.11
240,0.49,-0.15,-0.30,0.03,-1.57,-0.30,-0.12,-0.11
241,0.15,-0.16,0.01,-0.30,-0.94,-0.33,-0.14,-0.11
242,-0.44,-0.16,0.28,-0.29,-0.03,-0.29,-0.14,-0.10
243,-1.54,-0.17,0.11,0.37,0.74,-0.19,-0.14,-0.09
244,-1.54,-0.17,-0.33,1.04,1.19,-0.08,-0.14,-0.08
245,-1.21,-0.18,0.09,0.83,1.24,0.04,-0.16,-0.07
246,0.15,-0.19,0.00,-0.18,1.00,0.14,-0.18,-0.06
247,1.45,-0.19,0.19,-0.96,0.62,0.22,-0.21,-0.05
248,1.45,-0.20,0.23,-0.79,0.22,0.23,-0.24,-0.04
249,1.20,-0.20,-0.27,-0.22,-0.14,0.15,-0.26,-0.03
250,-0.03,-0.20,-0.02,-0.04,-0.52,0.00,-0.29,-0.03
251,-0.43,-0.20,-0.27,-0.19,-0.87,-0.16,-0.32,-0.03
252,-0.66,-0.20,0.11,-0.21,-1.16,-0.28,-0.33,-0.04
253,-1.20,-0.20,0.21,0.17,-1.27,-0.30,-0.32,-0.04
254,-0.43,-0.20,-0.26,0.78,-1.01,-0.24,-0.29,-0.04
255,-0.92,-0.20,0.38,0.98,-0.36,-0.12,-0.25,-0.04
256,-0.66,-0.20,-0.25,0.48,0.52,0.03,-0.19,-0.03
257,-1.21,-0.20,0.12,-0.31,1.37,0.21,-0.14,-0.02
258,-0.22,-0.20,-0.33,-0.76,1.85,0.38,-0.09,0.00
259,-0.43,-0.20,0.41,-0.70,1.77,0.48,-0.05,0.01
260,-0.43,-0.20,-0.11,-0.39,1.21,0.46,0.00,0.02
261,-0.43,-0.20,-0.10,0.09,0.29,0.33,0.05,0.03
262,0.33,-0.20,-0.10,0.46,-0.69,0.11,0.09,0.03
263,-0.22,-0.19,0.37,0.28,-1.50,-0.09,0.12,0.03
264,-0.03,-0.19,-0.30,-0.06,-1.92,-0.25,0.15,0.03
265,-0.92,-0.18,0.17,0.00,-1.75,-0.36,0.18,0.03
266,-0.03,-0.18,-0.39,0.16,-1.06,-0.39,0.22,0.03
267,-1.21,-0.18,0.58,-0.02,-0.06,-0.30,0.27,0.04
268,-0.66,-0.18,-0.49,-0.17,0.86,-0.12,0.31,0.04
269,-1.54,-0.17,0.34,0.05,1.34,0.12,0.33,0.04
270,-0.92,-0.17,-0.33,0.20,1.29,0.33,0.34,0.04
271,0.64,-0.17,-0.01,0.01,0.83,0.42,0.33,0.04
272,1.07,-0.17,0.48,-0.18,0.25,0.40,0.32,0.04
273,1.68,-0.17,-0.19,-0.12,-0.20,0.30,0.30,0.04
274,0.33,-0.17,0.17,0.05,-0.45,0.12,0.27,0.03
275,0.15,-0.16,-0.52,0.05,-0.51,-0.13,0.24,0.02
276,-0.43,-0.16,0.15,-0.26,-0.49,-0.40,0.21,0.00
277,0.49,-0.16,-0.13,-0.46,-0.40,-0.60,0.18,-0.01
278,0.93,-0.15,0.34,-0.03,-0.27,-0.66,0.17,-0.02
279,0.49,-0.15,0.16,0.67,-0.10,-0.53,0.18,-0.03
280,-0.03,-0.15,-0.25,0.86,0.08,-0.29,0.20,-0.04
281,-0.43,-0.15,-0.13,0.34,0.23,-0.01,0.21,-0.04
282,0.79,-0.15,-0.20,-0.50,0.36,0.28,0.21,-0.04
283,1.07,-0.15,0.49,-0.95,0.44,0.54,0.18,-0.03
284,0.93,-0.15,0.03,-0.52,0.48,0.74,0.14,-0.03
285,0.33,-0.15,-0.15,0.36,0.40,0.83,0.09,-0.03
286,1.45,-0.14,-0.41,0.70,0.14,0.75,0.04,-0.03
287,2.21,-0.14,0.38,0.12,-0.23,0.52,-0.01,-0.03
288,2.50,-0.14,0.19,-0.53,-0.64,0.23,-0.06,-0.04
289,1.33,-0.13,0.07,-0.31,-0.83,-0.03,-0.09,-0.05
290,0.33,-0.13,-0.37,0.39,-0.68,-0.23,-0.11,-0.06
291,-0.66,-0.12,-0.06,0.42,-0.24,-0.35,-0.10,-0.07
292,-0.92,-0.12,-0.01,-0.24,0.32,-0.40,-0.09,-0.08
293,-0.22,-0.11,0.03,-0.45,0.69,-0.39,-0.09,-0.08
294,-0.22,-0.11,0.35,0.13,0.73,-0.31,-0.11,-0.09
295,0.49,-0.11,-0.20,0.67,0.50,-0.19,-0.15,-0.10
296,-0.03,-0.10,0.20,0.51,0.18,-0.08,-0.20,-0.10
297,1.07,-0.09,-0.44,-0.16,-0.05,-0.03,-0.26,-0.11
298,1.33,-0.08,0.32,-0.77,-0.16,-0.05,-0.31,-0.11
299,2.50,-0.07,-0.14,-0.82,-0.17,-0.11,-0.34,-0.11
300,2.01,-0.06,0.34,-0.27,-0.22,-0.21,-0.35,-0.11
301,1.33,-0.05,-0.21,0.39,-0.29,-0.29,-0.34,-0.11
302,-0.43,-0.04,-0.01,0.59,-0.37,-0.33,-0.30,-0.10
303,-0.66,-0.03,-0.41,0.28,-0.41,-0.32,-0.24,-0.09
304,-0.44,-0.02,0.18,-0.11,-0.34,-0.26,-0.19,-0.08
305,-0.22,-0.01,0.27,-0.12,-0.12,-0.16,-0.15,-0.06
306,-0.66,0.00,0.11,0.26,0.25,-0.05,-0.12,-0.04
307,-0.66,0.00,-0.26,0.58,0.66,0.04,-0.12,-0.02
308,-1.54,0.01,0.14,0.30,0.93,0.14,-0.13,0.00
309,0.33,0.02,-0.54,-0.54,0.89,0.19,-0.15,0.03
310,0.93,0.03,0.64,-1.00,0.48,0.19,-0.17,0.05
311,1.90,0.04,-0.05,-0.55,-0.12,0.12,-0.18,0.06
312,1.33,0.04,0.12,0.24,-0.69,0.00,-0.18,0.08
313,1.33,0.05,-0.38,0.64,-1.03,-0.09,-0.15,0.09
314,0.49,0.06,0.13,0.32,-1.08,-0.11,-0.11,0.11
315,-0.43,0.07,-0.03,-0.36,-0.91,-0.07,-0.06,0.11
316,-1.20,0.07,-0.07,-0.42,-0.55,-0.01,-0.02,0.12
317,-1.53,0.07,-0.02,0.24,-0.03,0.04,0.00,0.13
318,-0.43,0.08,-0.11,0.66,0.57,0.11,0.00,0.13
319,0.33,0.08,0.35,0.47,1.08,0.21,-0.02,0.14
320,1.07,0.08,0.03,0.10,1.30,0.32,-0.04,0.14
321,1.33,0.09,-0.04,-0.16,1.09,0.36,-0.07,0.15
322,1.07,0.09,-0.04,-0.38,0.59,0.30,-0.09,0.16
323,0.93,0.09,-0.15,-0.65,0.01,0.16,-0.10,0.17
324,0.64,0.10,0.03,-0.70,-0.47,0.03,-0.09,0.18
325,-0.03,0.10,0.09,-0.24,-0.75,-0.04,-0.05,0.18
326,-0.92,0.10,-0.03,0.44,-0.93,-0.07,0.02,0.19
327,-2.44,0.10,0.04,0.80,-1.04,-0.09,0.10,0.20
328,-0.92,0.10,-0.60,0.68,-0.97,-0.09,0.18,0.21
329,-0.44,0.10,0.69,0.20,-0.65,-0.02,0.25,0.21
330,0.93,0.10,-0.06,-0.25,-0.02,0.13,0.29,0.21
331,1.20,0.09,0.14,-0.25,0.77,0.32,0.32,0.20
332,1.33,0.09,-0.17,0.00,1.37,0.44,0.33,0.19
333,0.79,0.09,-0.02,-0.20,1.52,0.45,0.34,0.18
334,0.64,0.10,-0.17,-0.74,1.13,0.35,0.35,0.16
335,0.33,0.10,0.09,-0.67,0.33,0.20,0.36,0.14
336,0.64,0.10,-0.05,0.08,-0.55,0.04,0.39,0.11
337,0.33,0.10,0.21,0.72,-1.16,-0.14,0.42,0.09
338,0.15,0.10,-0.09,0.89,-1.34,-0.34,0.46,0.06
339,-0.43,0.11,0.02,0.57,-1.04,-0.53,0.51,0.04
340,-0.92,0.11,-0.07,-0.04,-0.42,-0.61,0.54,0.02
341,0.15,0.11,-0.26,-0.51,0.30,-0.55,0.54,-0.01
342,-0.44,0.11,0.58,-0.58,0.92,-0.37,0.50,-0.03
343,0.33,0.12,-0.39,-0.28,1.19,-0.14,0.44,-0.06
344,0.33,0.12,0.17,0.14,1.08,0.06,0.36,-0.08
345,2.01,0.13,-0.29,0.29,0.52,0.20,0.28,-0.10
346,1.79,0.13,0.54,-0.01,-0.27,0.30,0.19,-0.12
347,1.33,0.14,-0.18,-0.30,-0.96,0.34,0.12,-0.14
348,-0.66,0.14,0.00,-0.09,-1.30,0.30,0.05,-0.15
349,-0.92,0.15,-0.54,0.17,-1.10,0.16,-0.01,-0.15
350,-1.54,0.15,0.32,-0.01,-0.49,-0.05,-0.06,-0.14
351,-1.20,0.16,0.01,-0.15,0.19,-0.25,-0.11,-0.14
352,-0.92,0.16,0.13,0.24,0.70,-0.38,-0.16,-0.14
353,-0.92,0.16,0.07,0.74,0.85,-0.42,-0.21,-0.14
354,-0.66,0.16,-0.14,0.56,0.75,-0.38,-0.28,-0.14
355,-0.66,0.16,0.04,-0.28,0.54,-0.30,-0.35,-0.14
356,-0.22,0.16,-0.09,-0.88,0.33,-0.18,-0.42,-0.14
357,-0.92,0.17,0.24,-0.80,0.16,-0.05,-0.48,-0.15
358,-0.43,0.17,-0.36,-0.27,-0.06,0.06,-0.52,-0.15
359,-0.92,0.17,0.27,0.30,-0.33,0.13,-0.56,-0.15
360,-0.22,0.17,-0.24,0.50,-0.63,0.16,-0.58,-0.15
361,-0.92,0.17,0.35,0.33,-0.88,0.16,-0.59,-0.14
362,-0.03,0.16,-0.41,0.18,-0.88,0.15,-0.59,-0.12
363,-0.66,0.16,0.40,0.11,-0.56,0.13,-0.58,-0.10
364,-0.43,0.15,-0.26,-0.07,0.02,0.11,-0.55,-0.08
