spi,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
-0.03,0.02,-0.07,0.09,-0.13,-0.2,0.19,0.14
-0.92,0.03,0.21,0.09,-0.28,-0.3,0.13,0.14
-0.43,0.04,-0.41,0.24,-0.35,-0.42,0.1,0.14
-1.53,0.04,0.42,0.19,-0.27,-0.4,0.1,0.15
-0.66,0.04,-0.53,0.04,-0.03,-0.3,0.13,0.17
-0.43,0.03,0.04,-0.03,0.23,-0.17,0.21,0.2
-0.66,0.03,0.22,-0.18,0.42,-0.03,0.29,0.22
-0.92,0.03,0.05,-0.45,0.57,-0.02,0.32,0.23
-1.93,0.02,0.26,-0.25,0.54,-0.03,0.29,0.23
-1.53,0.02,-0.41,0.24,0.46,-0.06,0.24,0.23
-0.92,0.02,-0.2,0.47,0.21,-0.01,0.18,0.21
-0.43,0.02,0.02,0.2,-0.08,-0.01,0.09,0.19
-0.22,0.02,0.11,-0.41,-0.22,-0.02,0.01,0.19
-0.43,0.03,0.17,-0.6,-0.31,-0.02,-0.05,0.19
-0.03,0.04,-0.17,-0.24,-0.1,0,-0.11,0.21
-0.44,0.05,0.22,0.12,0.04,0.15,-0.12,0.22
-0.66,0.06,0.01,0.18,0,0.32,-0.1,0.23
-0.43,0.06,-0.17,0.18,-0.15,0.51,-0.07,0.24
-0.03,0.05,-0.1,0.26,-0.46,0.56,-0.06,0.25
0.49,0.05,-0.06,0.08,-0.55,0.6,-0.09,0.23
-0.03,0.05,0.34,-0.27,-0.46,0.62,-0.15,0.19
0.79,0.05,-0.36,-0.3,-0.18,0.61,-0.24,0.13
0.49,0.06,0.26,-0.02,0.09,0.56,-0.33,0.07
0.64,0.07,-0.05,0.07,0.21,0.41,-0.39,0.02
-0.43,0.08,0.38,-0.03,0.18,0.22,-0.43,-0.01
0.15,0.1,-0.45,0.14,0,0,-0.44,-0.03
0.79,0.12,-0.17,0.41,-0.14,-0.12,-0.43,-0.06
0.64,0.15,0.26,0.18,-0.22,-0.23,-0.37,-0.06
-0.44,0.17,0.39,-0.41,-0.15,-0.35,-0.29,-0.06
-2.44,0.18,0.4,-0.39,0.01,-0.45,-0.21,-0.05
-1.21,0.18,-1.02,0.45,0.15,-0.54,-0.12,-0.04
1.07,0.18,-0.65,1.07,0.2,-0.55,-0.05,-0.03
2.21,0.17,0.29,0.26,0.17,-0.54,0,-0.03
2.21,0.17,0.49,-1.37,0.21,-0.5,0.05,-0.04
1.2,0.17,0.45,-1.6,0.33,-0.5,0.09,-0.05
0.64,0.17,-0.06,-0.31,0.58,-0.5,0.16,-0.05
0.93,0.18,-0.33,0.91,0.53,-0.43,0.22,-0.05
1.07,0.19,-0.03,1.13,0.08,-0.33,0.29,-0.05
0.15,0.2,0.38,0.4,-0.55,-0.18,0.36,-0.06
-0.03,0.2,-0.16,-0.22,-1.19,-0.1,0.43,-0.06
-0.66,0.21,0.09,-0.04,-1.19,-0.02,0.49,-0.04
0.15,0.2,-0.45,0.27,-0.63,0.1,0.52,-0.02
-0.66,0.19,0.42,0.13,0.07,0.26,0.52,0
-0.92,0.17,-0.04,-0.23,0.69,0.44,0.49,0.02
-1.93,0.16,0.21,-0.25,0.86,0.42,0.46,0.01
-1.53,0.14,-0.41,0.15,0.73,0.27,0.42,0
-0.03,0.14,-0.5,0.4,0.57,0.09,0.36,-0.03
0.15,0.14,0.35,0.02,0.41,0,0.28,-0.05
0.15,0.13,0.18,-0.74,0.35,-0.07,0.19,-0.06
-0.22,0.13,0.14,-0.82,0.29,-0.18,0.08,-0.07
-0.43,0.13,-0.02,-0.07,0.21,-0.36,-0.01,-0.08
-0.03,0.13,-0.22,0.46,0.07,-0.51,-0.11,-0.07
0.33,0.11,-0.04,0.45,-0.26,-0.39,-0.19,-0.04
0.33,0.09,0.13,0.09,-0.53,-0.1,-0.26,-0.01
-0.03,0.07,0.16,-0.27,-0.77,0.21,-0.33,0.02
0.64,0.05,-0.32,-0.16,-0.75,0.4,-0.4,0.04
0.64,0.04,0.13,0.14,-0.42,0.55,-0.46,0.04
0.79,0.03,0.01,0.04,-0.13,0.7,-0.49,0.02
-0.66,0.02,0.53,-0.19,0.09,0.88,-0.48,0.01
-0.66,0.02,-0.35,-0.01,0.12,0.94,-0.45,-0.01
-0.03,0.02,-0.35,0.5,-0.01,0.78,-0.46,-0.03
0.15,0.03,0.1,0.51,-0.09,0.52,-0.51,-0.04
0.49,0.04,-0.01,-0.18,-0.05,0.27,-0.54,-0.04
-0.44,0.05,0.42,-0.58,0.05,0.07,-0.53,-0.02
-0.66,0.06,-0.13,-0.31,0.26,-0.16,-0.49,0
-1.54,0.06,0.16,0.18,0.39,-0.37,-0.41,0.03
-1.54,0.07,-0.24,0.48,0.36,-0.58,-0.34,0.05
-1.21,0.08,-0.19,0.43,0.22,-0.65,-0.24,0.05
-0.66,0.09,-0.11,0.13,-0.05,-0.6,-0.16,0.04
0.15,0.09,-0.11,-0.3,-0.12,-0.56,-0.08,0.03
0.49,0.09,0.14,-0.57,0,-0.53,-0.01,0.03
-0.03,0.1,0.34,-0.58,0.27,-0.48,0.06,0.02
-0.92,0.11,0.21,-0.32,0.5,-0.33,0.14,0
-0.44,0.11,-0.43,0.28,0.38,-0.17,0.19,-0.02
-0.03,0.11,-0.1,0.74,0.02,-0.02,0.21,-0.04
-0.03,0.11,0.15,0.36,-0.47,0.07,0.2,-0.05
-1.2,0.11,0.44,-0.34,-0.77,0.14,0.23,-0.04
0.15,0.1,-0.75,-0.26,-0.7,0.27,0.31,-0.02
1.45,0.09,-0.21,0.31,-0.4,0.39,0.39,0
2.11,0.09,0.22,0.05,0.01,0.5,0.44,0.02
1.68,0.08,0.43,-0.8,0.28,0.48,0.45,0.02
0.64,0.07,0.31,-0.74,0.36,0.43,0.44,0.02
0.15,0.06,-0.13,0.17,0.26,0.35,0.42,0.02
-0.66,0.06,0.06,0.87,-0.03,0.29,0.38,0
-0.66,0.05,-0.25,0.88,-0.36,0.22,0.32,-0.01
-0.66,0.05,-0.07,0.46,-0.63,0.1,0.25,-0.01
0.33,0.05,-0.34,0.03,-0.72,-0.04,0.19,-0.02
0.49,0.04,0.19,-0.36,-0.36,-0.22,0.14,-0.02
-0.22,0.02,0.37,-0.67,0.24,-0.33,0.09,-0.01
0.15,0,-0.29,-0.51,0.84,-0.39,0.04,0
0.15,-0.02,0.03,0.12,1.13,-0.38,0,0.01
1.57,-0.04,-0.45,0.38,0.93,-0.43,0.01,0.02
0.79,-0.06,0.62,-0.02,0.41,-0.5,0.02,0.01
0.64,-0.09,-0.01,-0.42,-0.11,-0.57,0.02,-0.01
-1.93,-0.1,0.77,-0.26,-0.4,-0.56,0.01,-0.05
-0.03,-0.1,-1.31,0.49,-0.52,-0.44,0.01,-0.1
0.49,-0.1,0.06,1.04,-0.47,-0.26,0.02,-0.14
1.45,-0.1,-0.02,0.3,-0.42,-0.11,0.01,-0.18
0.93,-0.1,0.47,-0.95,-0.33,-0.04,0,-0.2
0.15,-0.11,0.22,-0.98,-0.05,0.1,-0.01,-0.22
-1.54,-0.11,0.33,-0.13,0.33,0.25,0.02,-0.22
-1.54,-0.12,-0.49,0.67,0.49,0.44,0.06,-0.21
-0.44,-0.13,-0.53,1.1,0.36,0.56,0.09,-0.21
0.93,-0.13,-0.19,0.61,-0.01,0.53,0.1,-0.2
1.07,-0.14,0.4,-0.61,-0.42,0.37,0.08,-0.18
1.33,-0.14,0.07,-1.25,-0.29,0.18,0.07,-0.16
0.79,-0.13,0.26,-0.75,0.17,0.07,0.07,-0.13
0.33,-0.13,0.05,0.06,0.6,0,0.01,-0.11
-0.92,-0.12,0.26,0.5,0.68,0.03,-0.08,-0.11
-1.53,-0.11,-0.15,0.66,0.17,-0.06,-0.18,-0.12
-1.53,-0.11,-0.27,0.7,-0.56,-0.15,-0.26,-0.13
-1.2,-0.11,-0.17,0.49,-1.02,-0.17,-0.31,-0.13
-1.93,-0.11,0.33,-0.09,-0.89,-0.05,-0.34,-0.13
-0.66,-0.11,-0.59,-0.48,-0.31,0.14,-0.33,-0.12
0.49,-0.11,-0.14,-0.28,0.42,0.27,-0.32,-0.1
1.33,-0.11,0.12,-0.33,0.99,0.25,-0.31,-0.09
0.64,-0.1,0.55,-0.8,1.12,0.05,-0.32,-0.07
0.33,-0.1,0.01,-0.64,0.91,-0.03,-0.33,-0.07
-0.22,-0.09,0.05,0.22,0.46,-0.04,-0.33,-0.08
-0.22,-0.08,-0.17,0.78,-0.2,-0.01,-0.31,-0.07
-1.54,-0.07,0.4,0.63,-0.77,-0.03,-0.29,-0.05
-1.21,-0.06,-0.44,0.29,-1.15,-0.08,-0.28,-0.03
-1.21,-0.05,-0.04,0.25,-1.21,-0.11,-0.27,-0.02
-0.92,-0.05,-0.07,0.1,-0.81,-0.02,-0.2,-0.02
-1.54,-0.06,0.28,-0.34,-0.17,0.19,-0.08,0.01
-1.2,-0.06,-0.24,-0.41,0.45,0.35,0.02,0.07
0.64,-0.07,-0.6,-0.01,0.89,0.43,0.08,0.13
0.33,-0.08,0.6,0,0.96,0.38,0.11,0.18
1.33,-0.1,-0.25,-0.56,0.78,0.24,0.13,0.21
0.93,-0.11,0.36,-0.58,0.45,0.08,0.14,0.23
1.07,-0.13,-0.06,-0.05,0.11,-0.07,0.17,0.24
0.15,-0.14,0.31,0.21,-0.22,-0.21,0.18,0.24
-0.92,-0.15,0.15,0.35,-0.59,-0.31,0.19,0.23
-0.92,-0.15,-0.35,0.57,-0.82,-0.38,0.16,0.23
-1.93,-0.16,0.25,0.64,-1.02,-0.38,0.12,0.22
-3.22,-0.16,0.19,0.3,-0.89,-0.26,0.11,0.21
-0.92,-0.17,-1.2,0.11,-0.49,-0.05,0.15,0.19
0.64,-0.17,-0.08,0.26,0.02,0.15,0.21,0.16
1.2,-0.17,0.41,-0.57,0.73,0.29,0.27,0.12
1.33,-0.18,0.24,-1.58,1.14,0.3,0.29,0.08
0.64,-0.18,0.32,-1.01,1.37,0.16,0.26,0.05
1.2,-0.19,-0.35,0.19,1.24,-0.01,0.26,0.03
0.64,-0.19,0.27,0.74,0.5,-0.2,0.28,0.02
0.64,-0.19,-0.09,0.6,-0.29,-0.35,0.29,0.02
-0.66,-0.18,0.39,0.23,-1.13,-0.49,0.26,0.03
-0.66,-0.17,-0.32,0.19,-1.61,-0.52,0.2,0.03
-0.66,-0.16,-0.12,0.38,-1.35,-0.47,0.13,0.03
-0.66,-0.15,0,0.29,-0.8,-0.28,0.11,0.01
-0.92,-0.15,0.09,-0.15,-0.07,0.04,0.12,0
-0.66,-0.15,-0.15,-0.33,0.54,0.32,0.18,0
-0.43,-0.15,-0.04,-0.14,0.85,0.46,0.27,0
0.93,-0.15,-0.38,-0.07,0.95,0.44,0.31,-0.01
2.68,-0.14,-0.24,-0.18,0.85,0.37,0.3,-0.05
3.43,-0.13,0.31,-0.51,0.7,0.21,0.23,-0.08
2.86,-0.13,0.54,-0.9,0.41,-0.01,0.16,-0.1
1.45,-0.12,0.41,-0.61,0.08,-0.26,0.06,-0.11
0.49,-0.11,-0.08,0.42,-0.28,-0.51,-0.03,-0.12
0.15,-0.08,-0.25,1.28,-0.78,-0.64,-0.13,-0.15
-0.44,-0.07,0.03,1.22,-1.23,-0.5,-0.22,-0.19
-1.54,-0.05,0.2,0.45,-1.45,-0.25,-0.24,-0.22
-1.54,-0.05,-0.33,-0.07,-1.26,0,-0.2,-0.23
-1.21,-0.05,-0.21,0,-0.54,0.21,-0.14,-0.21
0.15,-0.04,-0.38,-0.04,0.47,0.4,-0.06,-0.2
1.45,-0.04,-0.07,-0.47,1.32,0.51,-0.02,-0.19
1.45,-0.05,0.45,-0.92,1.79,0.5,-0.02,-0.19
1.2,-0.06,0.2,-0.99,1.75,0.31,-0.04,-0.19
-0.03,-0.06,0.36,-0.37,1.26,-0.09,-0.14,-0.19
-0.43,-0.07,-0.19,0.51,0.57,-0.45,-0.23,-0.18
-0.66,-0.07,-0.13,0.97,-0.29,-0.66,-0.3,-0.14
-1.2,-0.07,0.09,0.78,-1.07,-0.73,-0.34,-0.1
-0.43,-0.07,-0.42,0.24,-1.47,-0.7,-0.36,-0.06
-0.92,-0.07,0.31,-0.13,-1.41,-0.58,-0.33,0
-0.66,-0.06,-0.14,-0.35,-0.76,-0.31,-0.25,0.06
-1.21,-0.06,0.21,-0.38,0.08,0.12,-0.17,0.11
-0.22,-0.06,-0.45,-0.07,0.72,0.59,-0.09,0.13
-0.43,-0.06,0.27,0.08,1,0.9,-0.06,0.13
-0.43,-0.06,0.04,-0.14,0.77,0.98,-0.06,0.11
-0.43,-0.06,-0.02,-0.24,0.42,0.87,-0.09,0.09
0.33,-0.06,-0.26,0.04,0.06,0.7,-0.15,0.09
-0.22,-0.06,0.38,0.11,-0.18,0.51,-0.22,0.1
-0.03,-0.06,-0.13,-0.13,-0.28,0.31,-0.32,0.12
-0.92,-0.05,0.3,-0.07,-0.36,0.03,-0.42,0.14
-0.03,-0.04,-0.51,0.22,-0.36,-0.18,-0.44,0.16
-1.21,-0.03,0.54,0.27,-0.39,-0.27,-0.42,0.19
-0.66,-0.03,-0.4,0.06,-0.32,-0.18,-0.35,0.23
-1.54,-0.04,0.33,-0.01,-0.21,0.01,-0.26,0.26
-0.92,-0.04,-0.38,0.09,-0.08,0.17,-0.17,0.28
0.64,-0.05,-0.46,0.12,0.11,0.27,-0.1,0.28
1.07,-0.05,0.3,-0.11,0.23,0.24,-0.06,0.25
1.68,-0.06,0.04,-0.67,0.39,0.2,-0.04,0.24
0.33,-0.07,0.65,-0.81,0.42,0.11,-0.06,0.23
0.15,-0.08,-0.22,-0.15,0.37,-0.03,-0.07,0.23
-0.43,-0.07,0.03,0.62,0.14,-0.18,-0.1,0.22
0.49,-0.06,-0.48,0.91,-0.33,-0.31,-0.11,0.21
0.93,-0.05,0.03,0.49,-0.67,-0.38,-0.08,0.2
0.49,-0.04,0.34,-0.26,-0.9,-0.39,-0.01,0.2
-0.03,-0.03,0.11,-0.63,-0.69,-0.32,0.13,0.22
-0.43,-0.03,-0.03,-0.22,-0.16,-0.2,0.31,0.24
0.79,-0.03,-0.56,0.43,0.33,-0.09,0.47,0.24
1.07,-0.03,0.17,0.41,0.6,0.04,0.57,0.21
0.93,-0.03,0.23,-0.24,0.5,0.06,0.62,0.17
0.33,-0.03,0.2,-0.61,0.29,-0.02,0.61,0.12
1.45,-0.04,-0.55,-0.12,0.1,-0.14,0.58,0.06
2.21,-0.03,-0.03,0.4,0.08,-0.24,0.54,0
2.5,-0.02,0.19,0.06,0.08,-0.27,0.47,-0.06
1.33,0,0.54,-0.53,-0.01,-0.34,0.4,-0.11
0.33,0.01,0.08,-0.35,-0.13,-0.38,0.37,-0.13
-0.66,0.01,-0.02,0.45,-0.3,-0.46,0.37,-0.12
-0.92,0,-0.25,0.96,-0.39,-0.39,0.4,-0.11
-0.22,-0.01,-0.39,0.8,-0.44,-0.19,0.44,-0.09
-0.22,-0.01,0.15,0.16,-0.4,0.03,0.46,-0.09
0.49,-0.02,-0.18,-0.53,-0.15,0.16,0.44,-0.11
-0.03,-0.02,0.36,-0.74,0.3,0.12,0.36,-0.15
1.07,-0.03,-0.44,-0.44,0.83,0.08,0.26,-0.21
1.33,-0.04,0.14,-0.07,1.15,0.05,0.14,-0.27
2.5,-0.05,-0.23,-0.02,1.04,0.08,0.03,-0.33
2.01,-0.05,0.48,-0.26,0.57,0,-0.07,-0.37
1.33,-0.04,0.22,-0.34,-0.08,-0.17,-0.16,-0.39
-0.43,-0.04,0.39,0,-0.56,-0.3,-0.23,-0.38
-0.66,-0.03,-0.42,0.65,-0.84,-0.27,-0.29,-0.36
-0.44,-0.04,-0.29,1.08,-0.96,-0.06,-0.3,-0.31
-0.22,-0.04,-0.04,0.67,-0.92,0.18,-0.3,-0.27
-0.66,-0.05,0.23,-0.25,-0.73,0.35,-0.31,-0.23
-0.66,-0.05,-0.09,-0.66,-0.25,0.42,-0.34,-0.21
-1.54,-0.06,0.26,-0.36,0.41,0.53,-0.37,-0.21
0.33,-0.07,-0.86,0.07,0.98,0.63,-0.41,-0.21
0.93,-0.08,0.18,0.21,1.19,0.67,-0.46,-0.22
1.9,-0.08,-0.01,-0.3,1.03,0.49,-0.49,-0.23
1.33,-0.07,0.49,-0.87,0.57,0.18,-0.51,-0.24
1.33,-0.05,-0.05,-0.56,0.13,-0.16,-0.54,-0.25
0.49,-0.04,0.23,0.18,-0.13,-0.35,-0.55,-0.23
-0.43,-0.03,0.1,0.58,-0.46,-0.39,-0.56,-0.19
-1.2,-0.03,-0.04,0.65,-0.74,-0.33,-0.56,-0.13
-1.53,-0.03,-0.16,0.64,-1.03,-0.25,-0.52,-0.07
-0.43,-0.03,-0.53,0.5,-1.14,-0.16,-0.45,-0.01
0.33,-0.04,-0.01,0.05,-0.79,0.07,-0.36,0.04
1.07,-0.06,0.04,-0.62,-0.12,0.33,-0.3,0.07
1.33,-0.07,0.17,-0.97,0.66,0.59,-0.22,0.08
1.07,-0.07,0.22,-0.68,1.21,0.68,-0.16,0.08
0.93,-0.07,0.01,-0.13,1.29,0.54,-0.1,0.08
0.64,-0.07,0.04,0.33,0.84,0.27,-0.06,0.07
-0.03,-0.06,0.14,0.5,0.11,0.01,-0.04,0.07
-0.92,-0.06,0.11,0.37,-0.61,-0.16,-0.01,0.08
-2.44,-0.06,0.24,0.3,-1.08,-0.33,0.01,0.11
-0.92,-0.07,-0.98,0.49,-1.06,-0.43,0.03,0.15
-0.44,-0.08,0.08,0.53,-0.73,-0.48,0.07,0.22
0.93,-0.09,-0.21,-0.21,-0.14,-0.44,0.12,0.29
1.2,-0.11,0.29,-1.06,0.47,-0.25,0.21,0.34
1.33,-0.12,0.15,-1,0.93,-0.07,0.33,0.36
0.79,-0.13,0.24,-0.45,1.18,0.06,0.43,0.34
0.64,-0.13,-0.07,0.17,0.93,0.11,0.48,0.31
0.33,-0.13,0.02,0.61,0.4,0.12,0.48,0.26
0.64,-0.12,-0.2,0.59,-0.39,0.07,0.45,0.21
0.33,-0.11,0.15,0.29,-1.09,-0.02,0.4,0.16
0.15,-0.1,0.01,-0.04,-1.23,-0.1,0.35,0.12
-0.43,-0.1,0.12,-0.14,-0.98,-0.15,0.29,0.1
-0.92,-0.09,0.01,0.02,-0.39,-0.06,0.24,0.09
0.15,-0.1,-0.54,0.24,0.19,0.08,0.21,0.11
-0.44,-0.11,0.42,0.2,0.47,0.18,0.22,0.11
0.33,-0.12,-0.31,-0.22,0.57,0.21,0.26,0.11
0.33,-0.14,0.14,-0.39,0.51,0.2,0.32,0.08
2.01,-0.15,-0.5,-0.15,0.48,0.18,0.39,0.05
1.79,-0.14,0.5,-0.19,0.46,0.11,0.42,0
1.33,-0.14,0.26,-0.47,0.32,0,0.37,-0.05
-0.66,-0.14,0.54,-0.33,0.15,-0.22,0.24,-0.11
-0.92,-0.13,-0.45,0.44,-0.21,-0.43,0.1,-0.17
-1.54,-0.12,-0.04,1.12,-0.58,-0.49,0,-0.21
-1.2,-0.12,-0.29,0.9,-0.82,-0.41,-0.07,-0.24
-0.92,-0.12,-0.07,0.13,-0.88,-0.24,-0.1,-0.24
-0.92,-0.12,0.1,-0.44,-0.53,-0.06,-0.1,-0.23
-0.66,-0.12,-0.06,-0.63,0.1,0.09,-0.08,-0.23
-0.66,-0.12,0.07,-0.44,0.77,0.18,-0.01,-0.23
-0.22,-0.12,-0.13,-0.14,1.22,0.28,0.07,-0.23
-0.92,-0.12,0.35,-0.05,1.18,0.32,0.15,-0.24
-0.43,-0.12,-0.3,-0.02,0.7,0.25,0.15,-0.26
-0.92,-0.11,0.23,0.13,0.1,0.07,0.11,-0.29
-0.22,-0.1,-0.32,0.18,-0.42,-0.11,0,-0.32
-0.92,-0.09,0.37,0.03,-0.66,-0.22,-0.14,-0.37
-0.03,-0.06,-0.41,-0.06,-0.62,-0.2,-0.24,-0.4
-0.66,-0.04,0.37,-0.04,-0.47,-0.11,-0.29,-0.41
-0.43,-0.03,-0.15,-0.06,-0.28,0.02,-0.25,-0.38
-1.2,-0.03,0.26,-0.05,-0.12,0.17,-0.19,-0.33
0.15,-0.04,-0.63,0.16,-0.03,0.34,-0.12,-0.28
0.49,-0.04,0.15,0.24,0,0.54,-0.06,-0.23
0.64,-0.04,0.16,-0.18,0.02,0.66,-0.02,-0.2
1.2,-0.05,-0.12,-0.52,0.03,0.64,0.01,-0.16
1.33,-0.05,0.11,-0.24,0.07,0.48,-0.01,-0.13
1.68,-0.06,-0.04,0.03,0.11,0.3,-0.07,-0.12
0.93,-0.06,0.36,0,0.02,0.12,-0.17,-0.12
0.64,-0.05,-0.06,0.09,-0.15,-0.04,-0.26,-0.12
-0.03,-0.04,0.09,0.33,-0.36,-0.19,-0.3,-0.12
-0.43,-0.04,-0.06,0.47,-0.56,-0.31,-0.3,-0.09
-1.2,-0.04,0.1,0.37,-0.53,-0.38,-0.23,-0.04
-0.43,-0.05,-0.49,0.24,-0.38,-0.37,-0.12,0.01
-0.22,-0.05,0.05,0.13,-0.08,-0.31,0.01,0.06
0.49,-0.06,-0.12,-0.25,0.34,-0.28,0.11,0.1
-0.22,-0.07,0.44,-0.62,0.68,-0.31,0.18,0.14
0.33,-0.07,-0.3,-0.49,0.94,-0.38,0.22,0.17
0.15,-0.08,0.13,-0.01,0.95,-0.44,0.25,0.19
0.64,-0.07,-0.16,0.22,0.68,-0.52,0.25,0.19
-0.44,-0.07,0.47,0.04,0.26,-0.57,0.25,0.18
-1.54,-0.06,0.15,-0.08,-0.22,-0.61,0.24,0.17
-1.93,-0.05,-0.24,0.24,-0.55,-0.58,0.25,0.17
-1.93,-0.04,-0.2,0.68,-0.67,-0.47,0.28,0.18
