sl.no,spi,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
137,0.89,0.2,-0.05,-0.35,0.7,0.45,0.14,0.04
138,1.25,0.2,0.09,-0.44,0.84,0.46,0.13,0.04
139,1.31,0.2,0.13,-0.37,0.72,0.35,0.09,0.02
140,0.89,0.2,0.19,-0.18,0.42,0.18,0.03,0
141,0.23,0.21,0.13,0.11,0.02,0.03,-0.02,-0.02
142,-0.6,0.23,0.08,0.4,-0.4,-0.06,-0.08,-0.04
143,-1.16,0.25,-0.08,0.57,-0.76,-0.12,-0.16,-0.06
144,-1.37,0.28,-0.14,0.55,-0.94,-0.14,-0.2,-0.07
145,-1.37,0.29,-0.1,0.33,-0.86,-0.11,-0.2,-0.06
146,-0.71,0.29,-0.24,-0.01,-0.51,0,-0.16,-0.04
147,-0.29,0.28,0.02,-0.31,0.05,0.16,-0.1,-0.01
148,0.44,0.27,-0.08,-0.52,0.62,0.29,-0.04,0.02
149,1.04,0.25,0.02,-0.54,1.01,0.34,0,0.04
150,1.37,0.23,0.1,-0.4,1.1,0.27,0,0.05
151,1.38,0.21,0.13,-0.25,0.86,0.13,-0.04,0.03
152,1.03,0.21,0.15,-0.04,0.34,-0.03,-0.09,0.01
153,0.47,0.21,0.1,0.22,-0.24,-0.17,-0.13,-0.01
154,-0.23,0.21,0.07,0.42,-0.76,-0.27,-0.15,-0.03
155,-1.16,0.22,0.09,0.5,-1.08,-0.32,-0.17,-0.03
156,-1.37,0.23,-0.22,0.48,-1.1,-0.28,-0.16,-0.03
157,-1.37,0.24,-0.14,0.41,-0.89,-0.16,-0.13,-0.02
158,-1.16,0.24,-0.09,0.13,-0.42,0.02,-0.07,0
159,-0.77,0.23,-0.08,-0.27,0.14,0.21,0.03,0.03
160,0.38,0.22,-0.28,-0.43,0.68,0.34,0.13,0.06
161,1.31,0.2,0.01,-0.44,1.08,0.37,0.2,0.07
162,1.72,0.19,0.2,-0.57,1.2,0.3,0.24,0.06
163,1.71,0.17,0.19,-0.59,1.02,0.13,0.24,0.04
164,1.19,0.17,0.21,-0.22,0.58,-0.11,0.21,0.01
165,0.56,0.17,0.08,0.28,-0.04,-0.33,0.17,-0.02
166,-0.14,0.17,0.03,0.61,-0.67,-0.48,0.13,-0.04
167,-0.52,0.19,-0.1,0.69,-1.16,-0.53,0.09,-0.06
168,-0.48,0.2,-0.17,0.54,-1.35,-0.46,0.07,-0.07
169,-0.34,0.2,-0.07,0.22,-1.18,-0.28,0.06,-0.07
170,-0.56,0.2,0.11,-0.17,-0.63,-0.04,0.09,-0.06
171,0.07,0.19,-0.26,-0.36,0.08,0.22,0.16,-0.05
172,0.28,0.17,0.07,-0.26,0.72,0.44,0.23,-0.04
173,0.94,0.15,-0.12,-0.21,1.12,0.54,0.28,-0.04
174,1.15,0.14,0.11,-0.29,1.1,0.49,0.29,-0.05
175,1.32,0.12,0.05,-0.25,0.82,0.31,0.26,-0.07
176,1.08,0.11,0.14,-0.13,0.39,0.05,0.19,-0.09
177,0.74,0.11,0.07,0.06,-0.08,-0.23,0.1,-0.11
178,0.24,0.11,0.06,0.26,-0.42,-0.45,0.01,-0.14
179,-0.31,0.12,0.03,0.36,-0.67,-0.57,-0.06,-0.15
180,-0.92,0.13,0.03,0.36,-0.78,-0.59,-0.11,-0.15
181,-0.77,0.13,-0.25,0.31,-0.69,-0.48,-0.11,-0.14
182,-0.92,0.13,0.03,0.2,-0.46,-0.27,-0.07,-0.12
183,-0.71,0.13,-0.1,-0.07,-0.07,-0.01,0,-0.09
184,0.14,0.11,-0.25,-0.26,0.34,0.24,0.08,-0.06
185,0.92,0.1,-0.03,-0.28,0.68,0.39,0.14,-0.05
186,1.29,0.09,0.15,-0.44,0.88,0.42,0.15,-0.06
187,1.22,0.08,0.19,-0.55,0.82,0.34,0.11,-0.08
188,0.74,0.08,0.18,-0.28,0.59,0.18,0.03,-0.1
189,0.04,0.08,0.11,0.17,0.18,0,-0.07,-0.12
190,-0.52,0.09,-0.03,0.51,-0.33,-0.14,-0.16,-0.13
191,-0.71,0.1,-0.14,0.63,-0.75,-0.23,-0.24,-0.14
192,-0.77,0.11,-0.08,0.47,-1.01,-0.26,-0.27,-0.14
193,-0.56,0.12,-0.1,0.12,-0.95,-0.17,-0.25,-0.12
194,-0.29,0.12,-0.05,-0.19,-0.55,-0.01,-0.2,-0.08
195,-0.23,0.11,0.07,-0.34,0.03,0.18,-0.12,-0.04
196,0.15,0.1,-0.09,-0.34,0.58,0.35,-0.04,-0.01
197,0.71,0.09,-0.09,-0.19,0.88,0.46,0,0.01
198,1.35,0.08,-0.04,-0.09,0.87,0.44,0,0.01
199,1.39,0.07,0.2,-0.19,0.57,0.32,-0.04,0
200,1.01,0.07,0.2,-0.26,0.18,0.16,-0.11,-0.02
201,0.15,0.07,0.2,-0.06,-0.18,-0.03,-0.19,-0.03
202,-0.31,0.08,-0.09,0.35,-0.48,-0.19,-0.26,-0.04
203,-0.18,0.09,-0.24,0.65,-0.67,-0.27,-0.3,-0.03
204,-0.29,0.1,0.03,0.53,-0.74,-0.29,-0.31,0
205,-0.37,0.1,0.01,0.04,-0.67,-0.25,-0.27,0.03
206,-0.6,0.1,0.05,-0.28,-0.39,-0.13,-0.18,0.07
207,-0.44,0.1,-0.12,-0.2,0.06,0.02,-0.07,0.11
208,0.31,0.08,-0.24,-0.02,0.51,0.16,0.03,0.14
209,0.83,0.07,0.02,-0.05,0.77,0.24,0.1,0.15
210,1.13,0.06,0.1,-0.31,0.79,0.22,0.13,0.15
211,1.11,0.06,0.13,-0.44,0.57,0.09,0.12,0.14
212,0.96,0.06,0.07,-0.21,0.28,-0.08,0.1,0.12
213,0.67,0.07,0.06,0.12,0,-0.23,0.05,0.09
214,0.24,0.08,0.06,0.31,-0.3,-0.33,0.02,0.08
215,-0.44,0.1,0.1,0.33,-0.53,-0.36,-0.01,0.07
216,0.76,0.11,-0.62,0.36,-0.7,-0.34,-0.01,0.07
217,0.83,0.12,0.21,0.28,-0.7,-0.27,0.03,0.09
218,0.91,0.12,0.1,-0.24,-0.44,-0.13,0.1,0.11
219,-0.31,0.11,0.44,-0.63,-0.06,0.08,0.18,0.14
220,0.38,0.1,-0.53,-0.18,0.35,0.28,0.26,0.17
221,0.84,0.1,-0.1,0.46,0.57,0.39,0.31,0.17
222,1.28,0.09,0.03,0.31,0.48,0.38,0.3,0.16
223,1.3,0.08,0.15,-0.31,0.28,0.26,0.25,0.13
224,1.09,0.08,0.12,-0.46,0.04,0.11,0.18,0.1
225,0.37,0.08,0.2,-0.14,-0.06,-0.04,0.1,0.06
226,-0.44,0.09,0.08,0.19,-0.05,-0.16,0.02,0.03
227,-1.37,0.1,0.05,0.45,-0.09,-0.27,-0.04,0
228,-0.84,0.12,-0.49,0.6,-0.19,-0.33,-0.09,0
229,-0.84,0.12,0.05,0.45,-0.35,-0.32,-0.09,0
230,-0.71,0.12,0,-0.1,-0.3,-0.27,-0.05,0.02
231,-0.48,0.11,-0.05,-0.54,-0.04,-0.17,0.02,0.04
232,0.36,0.1,-0.22,-0.4,0.38,-0.04,0.07,0.06
233,0.78,0.09,0.09,-0.22,0.8,0.08,0.09,0.07
234,1,0.09,0.11,-0.32,0.87,0.11,0.08,0.05
235,0.87,0.09,0.14,-0.32,0.65,0.08,0.03,0.02
236,0.5,0.09,0.11,-0.05,0.21,0.02,-0.04,-0.02
237,-0.04,0.1,0.08,0.24,-0.3,-0.02,-0.1,-0.07
238,-0.92,0.12,0.13,0.39,-0.67,0.02,-0.16,-0.1
239,0.5,0.13,-0.75,0.51,-0.89,0.1,-0.2,-0.12
240,0.59,0.15,0.24,0.42,-0.9,0.19,-0.22,-0.12
241,-0.65,0.16,0.58,-0.28,-0.65,0.25,-0.22,-0.11
242,-0.44,0.16,-0.37,-0.66,-0.26,0.34,-0.18,-0.08
243,-0.1,0.16,-0.18,0.08,0.19,0.45,-0.12,-0.04
244,0.44,0.16,-0.08,0.48,0.56,0.54,-0.05,-0.01
245,1.26,0.15,-0.11,-0.07,0.57,0.56,-0.02,0
246,1.54,0.14,0.16,-0.44,0.46,0.43,-0.04,0
247,1.47,0.14,0.17,-0.47,0.31,0.19,-0.09,-0.02
248,0.85,0.14,0.22,-0.3,0.07,-0.06,-0.14,-0.05
249,0.24,0.15,0.05,0.14,0.03,-0.24,-0.17,-0.08
250,-0.34,0.15,-0.01,0.52,-0.14,-0.36,-0.2,-0.1
251,-0.48,0.17,-0.15,0.61,-0.46,-0.42,-0.21,-0.12
252,-0.71,0.18,-0.01,0.42,-0.62,-0.44,-0.21,-0.11
253,-0.56,0.18,-0.12,0.08,-0.66,-0.46,-0.18,-0.1
254,-0.84,0.18,0.11,-0.18,-0.38,-0.35,-0.11,-0.07
255,-0.37,0.17,-0.22,-0.25,0.17,-0.16,-0.02,-0.04
256,0.11,0.15,-0.07,-0.17,0.64,0,0.08,0
257,0.62,0.14,-0.01,-0.18,0.89,0.07,0.18,0.02
258,0.98,0.13,0.05,-0.32,0.86,0.04,0.22,0.02
259,1,0.12,0.13,-0.33,0.59,-0.07,0.23,0.01
260,0.72,0.12,0.13,-0.16,0.25,-0.18,0.22,-0.01
261,0.11,0.12,0.14,0.07,-0.11,-0.19,0.2,-0.03
262,-0.6,0.13,0.06,0.31,-0.42,-0.19,0.2,-0.05
263,-1.37,0.15,0.03,0.47,-0.67,-0.21,0.2,-0.05
264,-1.16,0.16,-0.33,0.51,-0.82,-0.16,0.19,-0.05
265,-0.71,0.16,-0.17,0.38,-0.75,-0.03,0.19,-0.04
266,-0.71,0.16,0.13,-0.06,-0.45,0.15,0.22,-0.02
267,-0.56,0.15,-0.01,-0.52,0.02,0.35,0.26,0.01
268,0.41,0.13,-0.29,-0.45,0.52,0.51,0.31,0.04
269,1.04,0.12,0.04,-0.16,0.87,0.52,0.3,0.06
270,1.47,0.11,0.1,-0.26,0.92,0.44,0.26,0.07
271,1.47,0.1,0.17,-0.41,0.66,0.31,0.2,0.05
272,1.34,0.1,0.08,-0.17,0.25,0.13,0.11,0.02
273,0.82,0.11,0.15,0.17,-0.25,-0.05,0,-0.01
274,0.36,0.12,0.02,0.37,-0.65,-0.18,-0.09,-0.05
275,-0.48,0.13,0.12,0.46,-0.88,-0.24,-0.17,-0.07
276,-0.48,0.14,-0.25,0.45,-0.97,-0.24,-0.23,-0.08
277,-0.71,0.14,0,0.36,-0.84,-0.15,-0.25,-0.09
278,-0.6,0.14,-0.1,0.1,-0.48,-0.01,-0.23,-0.08
279,-0.41,0.13,-0.06,-0.19,-0.01,0.13,-0.17,-0.06
280,0.28,0.11,-0.18,-0.26,0.5,0.25,-0.11,-0.04
281,0.89,0.1,-0.02,-0.28,0.9,0.29,-0.07,-0.02
282,1.36,0.09,0.06,-0.38,1.03,0.2,-0.05,-0.02
283,1.31,0.09,0.19,-0.41,0.92,0.01,-0.05,-0.04
284,1,0.09,0.14,-0.24,0.6,-0.21,-0.07,-0.06
285,0.27,0.1,0.17,0.09,0.14,-0.43,-0.07,-0.08
286,-0.23,0.11,-0.04,0.4,-0.32,-0.57,-0.07,-0.09
287,-0.77,0.13,-0.01,0.56,-0.71,-0.61,-0.08,-0.1
288,-0.71,0.15,-0.2,0.49,-0.93,-0.58,-0.07,-0.09
289,-0.6,0.16,-0.07,0.24,-0.87,-0.44,-0.03,-0.07
290,-0.77,0.16,0.09,-0.1,-0.54,-0.22,0.04,-0.05
291,-0.48,0.16,-0.13,-0.33,-0.02,0.05,0.14,-0.02
292,0.27,0.15,-0.2,-0.24,0.49,0.3,0.23,0.01
293,1,0.14,-0.04,-0.15,0.85,0.46,0.29,0.03
294,1.27,0.14,0.16,-0.34,0.9,0.5,0.29,0.02
295,1.41,0.14,0.09,-0.45,0.69,0.41,0.25,0
296,1.13,0.14,0.16,-0.21,0.35,0.26,0.18,-0.02
297,0.77,0.15,0.07,0.13,-0.07,0.08,0.11,-0.03
298,0.11,0.16,0.11,0.35,-0.45,-0.06,0.03,-0.03
299,-0.92,0.17,0.15,0.43,-0.74,-0.15,-0.04,-0.04
300,-1.02,0.18,-0.28,0.46,-0.91,-0.17,-0.1,-0.03
301,-0.71,0.18,-0.23,0.48,-0.86,-0.12,-0.14,-0.03
302,-0.44,0.18,-0.02,0.19,-0.55,0,-0.14,-0.01
303,-0.04,0.17,-0.04,-0.35,-0.07,0.16,-0.11,0.02
304,0.32,0.16,0,-0.56,0.47,0.3,-0.06,0.06
305,0.97,0.14,-0.1,-0.41,0.92,0.37,-0.03,0.08
306,1.4,0.13,0.05,-0.26,1.05,0.32,-0.04,0.09
307,1.49,0.12,0.14,-0.2,0.88,0.17,-0.08,0.08
308,1.07,0.12,0.21,-0.15,0.47,-0.01,-0.14,0.07
309,0.37,0.12,0.14,0.05,-0.09,-0.21,-0.21,0.06
310,-0.6,0.13,0.12,0.36,-0.55,-0.35,-0.26,0.07
311,-0.92,0.14,-0.2,0.59,-0.86,-0.42,-0.29,0.08
312,-0.71,0.15,-0.24,0.62,-0.96,-0.42,-0.29,0.09
313,-0.71,0.16,0.02,0.3,-0.79,-0.3,-0.27,0.11
314,-0.6,0.16,-0.02,-0.23,-0.42,-0.12,-0.19,0.13
315,-0.6,0.16,0.03,-0.46,0.1,0.08,-0.08,0.16
316,0.39,0.15,-0.33,-0.29,0.64,0.24,0.03,0.18
317,0.8,0.14,0.11,-0.15,0.97,0.35,0.11,0.19
318,1.2,0.14,0.06,-0.29,1,0.35,0.15,0.18
319,1.34,0.14,0.09,-0.38,0.74,0.25,0.15,0.15
320,1.15,0.15,0.14,-0.16,0.28,0.07,0.12,0.12
321,0.71,0.16,0.12,0.1,-0.16,-0.14,0.07,0.08
322,-0.31,0.17,0.22,0.27,-0.55,-0.27,0.01,0.06
323,-0.65,0.19,-0.18,0.44,-0.79,-0.31,-0.03,0.05
324,-0.56,0.21,-0.21,0.58,-0.89,-0.25,-0.05,0.05
325,-0.34,0.22,-0.08,0.4,-0.82,-0.15,-0.04,0.06
326,-0.34,0.22,0.06,-0.1,-0.5,0,0,0.08
327,-0.23,0.21,-0.02,-0.43,-0.04,0.18,0.07,0.11
328,0.58,0.21,-0.25,-0.32,0.49,0.35,0.14,0.12
329,1.09,0.2,0.04,-0.15,0.86,0.46,0.19,0.12
330,1.48,0.2,0.07,-0.25,0.94,0.42,0.19,0.1
331,1.55,0.19,0.12,-0.36,0.74,0.26,0.14,0.07
332,1.19,0.2,0.18,-0.18,0.34,0.02,0.07,0.04
333,0.62,0.2,0.11,0.1,-0.09,-0.19,-0.01,0.02
334,-0.84,0.21,0.32,0.33,-0.47,-0.34,-0.08,0.01
335,-5.86,0.23,1.3,0.39,-0.71,-0.41,-0.14,-0.01
336,-5.86,0.24,-1.39,0.82,-0.86,-0.4,-0.17,-0.01
337,-5.86,0.25,-0.46,1.78,-0.88,-0.32,-0.15,-0.01
338,-1.37,0.25,-1.53,1.39,-0.57,-0.17,-0.09,0.01
339,-0.52,0.25,0.83,-0.86,-0.01,0.01,0,0.04
340,-0.08,0.24,0.47,-2.74,0.98,0.15,0.1,0.06
341,1.02,0.24,-0.19,-2.48,2.1,0.19,0.17,0.06
342,1.3,0.24,0.22,-0.59,2.56,0.14,0.2,0.04
343,1.35,0.24,0.15,0.53,2.29,0.04,0.17,0
344,0.78,0.25,0.23,0.49,0.84,-0.07,0.11,-0.03
345,0.27,0.25,0.04,0.59,-1.11,-0.18,0.03,-0.06
346,-0.14,0.26,-0.04,0.7,-2.55,-0.2,-0.04,-0.09
347,-0.77,0.27,0.07,0.61,-3.24,-0.1,-0.09,-0.1
348,-1.37,0.28,0.01,0.39,-2.66,0.2,-0.13,-0.1
349,-1.37,0.29,-0.21,0.21,-1.56,0.66,-0.15,-0.08
350,-1.37,0.28,-0.05,0.14,-0.43,1.05,-0.13,-0.06
351,-0.34,0.27,-0.35,-0.05,0.57,1.29,-0.07,-0.03
352,0.42,0.25,0,-0.31,1.09,1.29,0.02,-0.01
353,0.99,0.23,0.09,-0.58,1.45,1.2,0.09,0
354,1.26,0.22,0.12,-0.69,1.53,0.92,0.1,-0.01
355,1.25,0.21,0.12,-0.4,1.3,0.46,0.07,-0.04
356,0.93,0.21,0.13,0.02,0.84,-0.21,0,-0.07
357,0.47,0.21,0.08,0.29,0.14,-0.99,-0.09,-0.1
358,0.02,0.22,0.01,0.45,-0.54,-1.55,-0.15,-0.12
359,-0.41,0.23,-0.01,0.47,-1.02,-1.81,-0.18,-0.13
360,-0.44,0.23,-0.14,0.36,-1.2,-1.68,-0.15,-0.13
361,-0.92,0.24,0.12,0.18,-0.97,-1.42,-0.1,-0.11
362,-0.37,0.23,-0.31,-0.01,-0.49,-1.05,0,-0.08
363,-0.1,0.22,0,-0.09,0.07,-0.6,0.14,-0.05
364,0.38,0.21,-0.05,-0.22,0.58,-0.13,0.34,-0.03
365,0.88,0.2,-0.03,-0.39,0.86,0.3,0.55,-0.03
366,1.23,0.19,0.05,-0.35,0.9,0.51,0.68,-0.04
367,1.46,0.18,0.05,-0.23,0.76,0.53,0.71,-0.06
368,1.09,0.18,0.22,-0.13,0.42,0.34,0.62,-0.08
369,0.54,0.19,0.12,0.04,0.03,0.1,0.5,-0.1
370,-1.02,0.2,0.36,0.25,-0.36,-0.11,0.4,-0.12
371,-0.65,0.22,-0.57,0.54,-0.71,-0.25,0.32,-0.12
372,-0.65,0.23,-0.05,0.74,-0.85,-0.28,0.28,-0.11
373,-0.77,0.24,0.07,0.32,-0.76,-0.18,0.29,-0.09
