sl.no.,rainfall,spi_1
299,5.27,-0.92
300,5.27,-0.52
301,0,0.00
302,0,-0.05
303,31.64,-0.15
304,63.28,-0.22
305,68.55,0.30
306,105.47,0.73
307,374.41,1.55
308,369.14,1.68
309,263.67,1.10
310,10.55,-0.31
311,42.19,-0.41
312,0,0.39
313,0,0.39
314,21.09,-0.15
315,0,0.28
316,10.55,-0.68
317,26.37,-0.15
318,342.77,1.14
319,210.94,1.02
320,284.77,1.37
321,237.3,1.51
322,68.55,0.18
323,21.09,-0.41
324,0,0.78
325,15.82,-0.41
326,26.37,-0.22
327,58.01,-0.22
328,21.09,-0.41
329,21.09,0.03
330,253.12,1.34
331,305.86,1.45
332,268.95,1.55
333,305.86,1.54
334,15.82,-0.31
335,0,0.72
336,0,0.74
337,0,0.77
338,0,0.79
339,10.55,0.81
340,5.27,-0.92
341,63.28,0.03
342,84.38,0.30
343,479.88,1.90
344,247.85,1.22
345,100.2,0.57
346,52.73,0.41
347,31.64,-0.31
348,5.27,0.28
349,10.55,-0.92
350,0,-0.05
351,5.27,-0.11
352,21.09,-0.92
353,58.01,0.26
354,232.03,1.04
355,379.69,1.40
356,321.68,1.26
357,247.85,1.00
358,126.56,0.38
359,52.73,-0.31
360,58.01,-0.02
361,0,0.28
362,15.82,-0.41
363,0,0.14
364,63.28,0.09
365,89.65,0.26
366,116.02,0.76
367,311.13,1.37
368,337.5,1.44
369,290.04,1.48
370,0,-0.92
371,0,0.89
372,15.82,-0.68
373,15.82,-0.22
374,0,0.29
375,0,0.29
376,52.73,-0.02
377,47.46,-0.41
378,189.84,1.06
379,495.7,1.82
380,411.33,1.72
381,258.4,1.04
382,31.64,-0.08
383,68.55,0.26
384,0,0.53
385,0,0.53
386,5.27,-0.68
387,0,0.29
388,58.01,0.13
389,15.82,-0.41
390,295.31,1.10
391,316.41,1.40
392,237.3,1.15
393,168.75,0.96
394,242.58,1.31
395,10.55,1.08
396,0,1.15
397,0,1.22
398,15.82,-0.41
399,15.82,-0.41
400,26.37,-0.68
401,52.73,0.26
402,110.74,0.51
403,448.24,1.75
404,268.95,1.29
405,305.86,1.22
406,84.38,0.22
407,0,0.61
408,0,-0.68
409,5.27,-0.52
410,0,0.02
411,21.09,-0.68
412,42.19,-0.08
413,26.37,-0.41
414,348.05,1.08
415,195.12,1.40
416,337.5,1.51
417,311.13,1.14
418,10.55,-0.52
419,10.55,-0.68
420,5.27,-0.68
421,0,0.24
422,0,-0.92
423,15.82,-0.92
424,10.55,-0.68
425,31.64,-0.31
426,174.02,0.51
427,311.13,1.14
428,258.4,1.31
429,290.04,1.08
430,121.29,0.63
431,0,-0.92
432,0,0.93
433,0,-0.92
434,0,0.19
435,21.09,-0.31
436,5.27,-0.92
437,26.37,-0.68
438,168.75,0.83
439,474.61,1.65
440,279.49,1.21
441,158.2,0.85
442,121.29,0.45
443,5.27,-0.92
444,0,0.08
445,0,0.05
446,0,0.03
447,5.27,0.00
448,42.19,-0.15
449,21.09,-0.08
450,73.83,0.54
451,311.13,1.44
452,495.7,1.47
453,179.3,0.80
454,47.46,-0.02
455,0,1.07
456,68.55,0.22
457,5.27,0.94
458,15.82,-0.52
459,10.55,-0.52
460,15.82,-0.68
461,36.91,0.09
462,79.1,0.30
463,432.42,1.45
464,469.34,1.69
465,284.77,1.29
466,89.65,0.41
467,0,0.95
468,0,1.02
469,10.55,-0.92
470,52.73,0.13
471,47.46,-0.08
472,26.37,-0.22
473,36.91,-0.22
474,316.41,1.49
475,189.84,0.76
476,326.95,1.58
477,168.75,0.54
478,121.29,0.51
479,5.27,0.45
480,0,0.43
481,0,0.41
482,5.27,0.39
483,0,0.37
484,14.26,-0.76
485,78.12,0.21
486,133.57,0.70
487,284.63,1.35
488,182.91,0.78
489,276.47,1.17
490,23.14,-0.24
491,41.33,-0.02
492,25.18,-0.09
