sl.no.,Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
34,-1.17,0.09,0.01,0.58,-0.35,0.36,-0.10,0.08
35,-1.86,0.09,-0.07,0.32,0.18,0.22,-0.15,0.07
36,-1.59,0.10,-0.13,0.05,0.69,0.02,-0.19,0.05
37,-0.47,0.10,0.07,-0.15,1.06,-0.22,-0.20,0.03
38,0.52,0.11,0.25,-0.22,1.23,-0.46,-0.18,0.01
39,1.06,0.11,0.07,-0.13,1.14,-0.67,-0.14,0.00
40,1.22,0.11,-0.11,-0.01,0.73,-0.79,-0.07,-0.01
41,1.27,0.11,-0.12,-0.12,0.09,-0.82,-0.01,-0.01
42,1.24,0.11,-0.02,-0.46,-0.64,-0.73,0.04,0.00
43,0.94,0.10,0.06,-0.55,-1.22,-0.54,0.07,0.00
44,0.30,0.10,0.02,-0.06,-1.43,-0.30,0.08,0.01
45,-0.61,0.10,-0.03,0.57,-1.24,-0.01,0.07,0.01
46,-1.22,0.09,-0.11,0.77,-0.72,0.28,0.05,0.00
47,-1.64,0.10,0.03,0.45,-0.07,0.53,0.01,-0.02
48,-1.39,0.10,-0.02,0.00,0.51,0.71,-0.03,-0.04
49,-0.77,0.10,0.07,-0.21,0.96,0.81,-0.04,-0.06
50,-0.07,0.10,0.09,-0.17,1.21,0.82,-0.03,-0.08
51,0.55,0.10,0.01,-0.13,1.21,0.74,0.00,-0.09
52,0.84,0.10,0.00,-0.20,0.92,0.58,0.04,-0.10
53,0.99,0.10,-0.07,-0.31,0.35,0.35,0.08,-0.10
54,0.96,0.10,-0.02,-0.36,-0.39,0.08,0.10,-0.10
55,0.80,0.09,0.00,-0.22,-1.05,-0.17,0.10,-0.10
56,0.38,0.09,0.03,0.10,-1.38,-0.36,0.08,-0.09
57,-0.27,0.08,0.00,0.40,-1.27,-0.46,0.04,-0.10
58,-0.89,0.08,-0.05,0.50,-0.77,-0.48,-0.02,-0.10
59,-1.35,0.08,-0.02,0.36,-0.08,-0.42,-0.08,-0.12
60,-1.32,0.08,-0.03,0.09,0.58,-0.29,-0.12,-0.14
61,-0.30,0.08,-0.05,-0.11,1.04,-0.10,-0.14,-0.15
62,0.39,0.08,0.26,-0.15,1.25,0.10,-0.13,-0.17
63,0.80,0.07,0.03,-0.13,1.15,0.26,-0.08,-0.17
64,0.98,0.07,-0.10,-0.12,0.77,0.33,-0.03,-0.18
65,1.03,0.06,-0.07,-0.18,0.17,0.29,0.03,-0.17
66,1.11,0.05,-0.03,-0.36,-0.52,0.16,0.07,-0.16
67,0.78,0.05,0.09,-0.40,-1.08,-0.01,0.10,-0.14
68,0.21,0.04,-0.02,-0.01,-1.34,-0.19,0.11,-0.13
69,-0.48,0.03,-0.05,0.49,-1.22,-0.33,0.11,-0.12
70,-0.94,0.03,-0.06,0.60,-0.78,-0.41,0.09,-0.12
71,-1.32,0.02,0.05,0.32,-0.18,-0.43,0.08,-0.12
72,-1.64,0.02,0.04,0.00,0.42,-0.35,0.07,-0.13
73,-1.19,0.02,-0.11,-0.12,0.88,-0.21,0.09,-0.13
74,-0.27,0.02,0.05,-0.09,1.15,-0.02,0.14,-0.14
75,0.15,0.02,0.22,-0.14,1.15,0.16,0.20,-0.13
76,0.33,0.01,-0.05,-0.23,0.87,0.25,0.25,-0.13
77,0.41,0.01,-0.12,-0.19,0.35,0.25,0.29,-0.12
78,0.44,0.00,-0.03,-0.15,-0.31,0.16,0.29,-0.10
79,0.33,0.00,0.03,-0.23,-0.89,0.03,0.26,-0.08
80,-0.20,-0.01,0.06,-0.16,-1.17,-0.10,0.21,-0.05
81,-0.70,-0.01,-0.08,0.24,-1.09,-0.19,0.14,-0.04
82,-1.17,-0.02,-0.02,0.54,-0.69,-0.23,0.07,-0.03
83,-1.32,-0.02,-0.02,0.40,-0.13,-0.21,-0.01,-0.03
84,-1.25,-0.02,0.04,0.09,0.40,-0.10,-0.06,-0.03
85,-0.47,-0.02,-0.05,-0.08,0.80,0.08,-0.09,-0.03
86,0.14,-0.02,0.16,-0.09,1.00,0.29,-0.10,-0.03
87,0.62,-0.03,0.02,-0.11,0.97,0.47,-0.09,-0.03
88,0.88,-0.03,-0.04,-0.18,0.72,0.55,-0.10,-0.02
89,0.89,-0.04,-0.03,-0.24,0.26,0.51,-0.11,0.00
90,0.80,-0.04,-0.04,-0.27,-0.30,0.38,-0.15,0.02
91,0.52,-0.05,0.01,-0.21,-0.82,0.18,-0.20,0.05
92,0.05,-0.06,0.01,0.04,-1.11,-0.03,-0.25,0.07
93,-0.77,-0.06,0.02,0.35,-1.09,-0.23,-0.29,0.09
94,-2.00,-0.07,0.00,0.44,-0.77,-0.37,-0.30,0.09
95,-2.95,-0.07,-0.13,0.31,-0.25,-0.43,-0.29,0.10
96,-1.86,-0.07,-0.29,0.08,0.29,-0.40,-0.25,0.09
97,-0.56,-0.07,0.39,-0.12,0.72,-0.28,-0.19,0.09
98,0.16,-0.07,0.29,-0.18,0.97,-0.11,-0.11,0.09
99,0.70,-0.07,-0.16,-0.03,0.97,0.05,-0.03,0.09
100,0.94,-0.07,-0.12,0.11,0.71,0.16,0.03,0.09
101,0.96,-0.07,-0.03,-0.24,0.26,0.18,0.07,0.10
102,0.91,-0.07,-0.02,-0.82,-0.28,0.13,0.08,0.12
103,0.59,-0.08,0.04,-0.65,-0.73,0.02,0.08,0.14
104,0.06,-0.08,0.00,0.26,-0.94,-0.09,0.08,0.15
105,-0.72,-0.08,0.00,0.86,-0.87,-0.18,0.09,0.16
106,-1.50,-0.08,-0.04,0.78,-0.56,-0.23,0.12,0.17
107,-1.25,-0.08,-0.17,0.37,-0.10,-0.22,0.15,0.16
108,-0.58,-0.07,0.14,-0.07,0.37,-0.13,0.19,0.15
109,-0.08,-0.07,0.19,-0.29,0.80,0.01,0.23,0.14
110,0.51,-0.07,-0.06,-0.24,1.09,0.20,0.26,0.13
111,0.94,-0.06,-0.03,-0.10,1.10,0.36,0.27,0.12
112,1.16,-0.06,0.00,-0.17,0.80,0.45,0.24,0.11
113,1.28,-0.06,-0.03,-0.44,0.15,0.44,0.19,0.11
114,1.19,-0.06,0.01,-0.43,-0.67,0.35,0.12,0.12
115,0.96,-0.07,-0.01,-0.01,-1.33,0.20,0.05,0.13
116,0.52,-0.07,0.01,0.37,-1.58,0.02,-0.01,0.14
117,-0.10,-0.07,0.00,0.47,-1.32,-0.14,-0.05,0.14
118,-0.72,-0.07,-0.03,0.37,-0.64,-0.26,-0.06,0.14
119,-1.59,-0.07,0.04,0.16,0.14,-0.33,-0.06,0.13
120,-1.91,-0.06,-0.12,-0.03,0.83,-0.34,-0.05,0.11
121,-1.14,-0.06,-0.09,-0.12,1.27,-0.28,-0.05,0.09
122,0.00,-0.05,0.19,-0.13,1.37,-0.19,-0.05,0.07
123,0.62,-0.05,0.22,-0.12,1.16,-0.08,-0.06,0.05
124,0.88,-0.05,-0.08,-0.06,0.67,-0.02,-0.09,0.04
125,0.96,-0.05,-0.14,-0.02,-0.01,-0.02,-0.13,0.03
126,1.01,-0.04,-0.05,-0.23,-0.68,-0.08,-0.18,0.03
127,0.86,-0.04,0.05,-0.52,-1.13,-0.16,-0.22,0.04
128,0.33,-0.04,0.05,-0.33,-1.22,-0.20,-0.23,0.04
129,-0.42,-0.04,-0.04,0.31,-0.95,-0.20,-0.22,0.04
130,-1.11,-0.04,-0.07,0.73,-0.47,-0.15,-0.18,0.03
131,-1.39,-0.03,-0.05,0.58,0.05,-0.06,-0.13,0.01
132,-1.22,-0.03,0.03,0.15,0.49,0.08,-0.08,-0.01
133,-0.68,-0.02,0.06,-0.14,0.79,0.25,-0.03,-0.03
134,0.17,-0.01,0.03,-0.17,0.97,0.43,-0.01,-0.05
135,0.72,-0.01,0.10,-0.12,0.99,0.56,0.01,-0.07
136,0.96,0.00,-0.02,-0.18,0.79,0.57,0.00,-0.09
137,0.99,0.00,-0.08,-0.32,0.34,0.45,-0.02,-0.10
138,0.91,0.00,-0.04,-0.36,-0.29,0.24,-0.04,-0.10
139,0.73,0.00,0.00,-0.24,-0.93,0.01,-0.07,-0.10
140,0.15,0.00,0.06,0.03,-1.33,-0.20,-0.08,-0.10
141,-0.72,0.00,-0.02,0.36,-1.34,-0.37,-0.07,-0.09
142,-1.80,0.00,-0.04,0.54,-0.96,-0.48,-0.04,-0.10
143,-1.86,0.01,-0.20,0.41,-0.32,-0.50,0.00,-0.10
144,-1.39,0.01,0.11,0.08,0.37,-0.42,0.04,-0.11
145,-0.44,0.02,0.12,-0.15,0.93,-0.24,0.07,-0.13
146,0.38,0.03,0.11,-0.15,1.24,-0.02,0.08,-0.14
147,0.87,0.03,0.00,-0.02,1.24,0.15,0.08,-0.15
148,1.15,0.03,-0.09,-0.09,0.93,0.24,0.06,-0.16
149,1.22,0.04,-0.04,-0.41,0.38,0.24,0.03,-0.16
150,1.16,0.04,-0.02,-0.58,-0.29,0.16,-0.01,-0.16
151,0.88,0.04,0.02,-0.31,-0.88,0.04,-0.03,-0.15
152,0.32,0.04,0.02,0.23,-1.20,-0.09,-0.04,-0.14
153,-0.39,0.04,-0.03,0.61,-1.15,-0.19,-0.02,-0.13
154,-1.32,0.04,0.00,0.62,-0.77,-0.23,0.02,-0.12
155,-2.30,0.05,-0.02,0.32,-0.21,-0.18,0.07,-0.12
156,-2.00,0.05,-0.21,-0.01,0.38,-0.06,0.12,-0.12
157,-0.51,0.06,0.05,-0.18,0.87,0.13,0.17,-0.13
158,0.68,0.06,0.37,-0.21,1.15,0.33,0.19,-0.13
159,1.21,0.07,0.09,-0.14,1.15,0.49,0.20,-0.14
160,1.48,0.07,-0.20,-0.01,0.80,0.57,0.19,-0.15
161,1.57,0.07,-0.11,-0.10,0.16,0.53,0.15,-0.15
162,1.57,0.07,0.00,-0.54,-0.58,0.38,0.11,-0.14
163,1.30,0.06,0.05,-0.71,-1.16,0.16,0.07,-0.12
164,0.59,0.06,0.04,-0.08,-1.37,-0.07,0.04,-0.10
165,-0.15,0.06,-0.08,0.74,-1.15,-0.27,0.03,-0.08
166,-0.83,0.06,-0.03,0.93,-0.62,-0.41,0.04,-0.06
167,-1.32,0.06,0.01,0.50,0.03,-0.48,0.06,-0.05
168,-0.70,0.06,-0.12,-0.01,0.61,-0.46,0.08,-0.04
169,-0.41,0.06,0.27,-0.25,1.04,-0.36,0.09,-0.04
170,0.29,0.06,-0.05,-0.24,1.28,-0.19,0.08,-0.04
171,0.73,0.06,0.03,-0.18,1.27,-0.01,0.06,-0.04
172,1.01,0.06,-0.02,-0.20,0.93,0.10,0.02,-0.04
173,1.19,0.06,-0.05,-0.32,0.28,0.13,-0.04,-0.04
174,1.10,0.06,0.01,-0.39,-0.58,0.08,-0.10,-0.03
175,0.99,0.05,-0.04,-0.17,-1.32,-0.01,-0.15,-0.03
176,0.52,0.05,0.05,0.20,-1.67,-0.09,-0.18,-0.01
177,-0.02,0.05,-0.04,0.41,-1.51,-0.15,-0.18,0.00
178,-0.61,0.05,-0.02,0.43,-0.87,-0.17,-0.15,0.01
179,-1.32,0.05,0.03,0.28,-0.02,-0.15,-0.10,0.02
180,-1.74,0.05,-0.06,0.06,0.74,-0.06,-0.06,0.03
181,-0.73,0.05,-0.18,-0.08,1.27,0.07,-0.02,0.03
182,0.20,0.06,0.30,-0.12,1.46,0.23,0.00,0.04
183,0.69,0.06,0.16,-0.14,1.31,0.34,0.00,0.03
184,0.83,0.06,-0.11,-0.10,0.87,0.37,-0.01,0.03
185,0.89,0.06,-0.14,-0.05,0.21,0.29,-0.05,0.03
186,0.87,0.06,-0.01,-0.24,-0.51,0.13,-0.10,0.03
187,0.63,0.05,0.05,-0.52,-1.07,-0.06,-0.15,0.04
188,0.01,0.05,0.04,-0.28,-1.33,-0.23,-0.17,0.05
189,-0.85,0.05,-0.04,0.38,-1.20,-0.34,-0.16,0.07
190,-1.32,0.05,-0.12,0.71,-0.78,-0.38,-0.14,0.08
191,-1.19,0.05,-0.02,0.49,-0.23,-0.34,-0.10,0.10
192,-1.17,0.06,0.18,0.08,0.31,-0.21,-0.07,0.11
193,-0.64,0.06,-0.06,-0.14,0.73,-0.01,-0.05,0.12
194,0.09,0.06,0.01,-0.11,1.00,0.22,-0.04,0.12
195,0.85,0.06,0.05,-0.10,1.08,0.40,-0.05,0.12
196,1.03,0.06,0.09,-0.29,0.90,0.48,-0.07,0.11
197,0.96,0.06,-0.09,-0.40,0.46,0.42,-0.10,0.10
198,0.98,0.06,-0.12,-0.24,-0.16,0.25,-0.14,0.10
199,0.88,0.06,0.04,-0.03,-0.79,0.03,-0.16,0.09
200,0.48,0.06,0.07,0.08,-1.18,-0.19,-0.16,0.09
201,-0.51,0.06,0.04,0.26,-1.21,-0.36,-0.13,0.09
202,-1.01,0.06,-0.20,0.47,-0.85,-0.47,-0.06,0.10
203,-1.03,0.06,-0.02,0.40,-0.24,-0.48,0.01,0.11
204,-1.03,0.06,0.16,0.05,0.39,-0.38,0.08,0.12
205,-0.39,0.07,-0.06,-0.21,0.87,-0.18,0.14,0.13
206,0.14,0.07,0.10,-0.12,1.11,0.08,0.19,0.13
207,0.55,0.07,0.03,0.00,1.05,0.32,0.22,0.14
208,0.80,0.07,-0.04,-0.16,0.70,0.47,0.23,0.14
209,1.00,0.07,-0.05,-0.36,0.16,0.50,0.21,0.13
210,1.04,0.07,0.01,-0.32,-0.44,0.42,0.18,0.12
211,0.76,0.07,0.03,-0.14,-0.92,0.28,0.16,0.11
212,0.34,0.07,-0.04,0.11,-1.11,0.10,0.14,0.11
213,-0.15,0.07,-0.03,0.37,-0.98,-0.08,0.15,0.10
214,-0.72,0.07,0.01,0.40,-0.59,-0.21,0.17,0.10
215,-1.64,0.07,0.06,0.22,-0.05,-0.27,0.20,0.10
216,-1.46,0.08,-0.24,0.06,0.47,-0.25,0.23,0.10
217,-0.53,0.08,0.06,-0.01,0.86,-0.16,0.24,0.10
218,0.06,0.08,0.29,-0.09,1.05,-0.01,0.24,0.09
219,0.76,0.08,-0.06,-0.15,1.00,0.14,0.21,0.09
220,1.04,0.09,-0.01,-0.07,0.67,0.23,0.17,0.08
221,1.12,0.09,-0.06,-0.07,0.17,0.24,0.10,0.06
222,1.01,0.08,-0.03,-0.36,-0.41,0.16,0.03,0.04
223,0.75,0.08,-0.01,-0.48,-0.88,0.03,-0.04,0.02
224,0.39,0.08,0.00,-0.09,-1.08,-0.11,-0.08,0.00
225,-0.47,0.08,0.07,0.39,-0.98,-0.21,-0.09,-0.01
226,-1.42,0.09,-0.07,0.56,-0.64,-0.29,-0.08,-0.02
227,-1.93,0.09,-0.11,0.46,-0.17,-0.30,-0.05,-0.02
228,-1.46,0.10,-0.06,0.16,0.29,-0.25,-0.01,-0.02
229,-0.48,0.10,0.15,-0.13,0.68,-0.14,0.01,-0.01
230,0.06,0.11,0.22,-0.22,0.94,0.01,0.03,0.00
231,0.38,0.11,-0.07,-0.09,1.00,0.14,0.02,0.00
232,0.59,0.11,-0.12,-0.03,0.81,0.21,0.00,0.00
233,0.59,0.11,-0.01,-0.27,0.37,0.18,-0.05,-0.01
234,0.52,0.11,-0.01,-0.57,-0.25,0.09,-0.11,-0.03
235,0.14,0.11,0.04,-0.41,-0.82,-0.04,-0.16,-0.04
236,-0.38,0.11,-0.02,0.19,-1.16,-0.17,-0.18,-0.06
237,-1.08,0.11,-0.01,0.63,-1.15,-0.27,-0.18,-0.07
238,-1.69,0.11,-0.04,0.58,-0.78,-0.32,-0.15,-0.08
239,-1.64,0.12,-0.09,0.27,-0.22,-0.29,-0.11,-0.08
240,-1.17,0.12,0.07,-0.02,0.39,-0.19,-0.07,-0.08
241,-0.34,0.13,0.07,-0.16,0.88,-0.03,-0.04,-0.07
242,0.70,0.13,0.03,-0.15,1.16,0.15,-0.04,-0.06
243,1.12,0.13,0.12,-0.11,1.16,0.32,-0.05,-0.06
244,1.24,0.13,-0.08,-0.18,0.84,0.41,-0.07,-0.05
245,1.28,0.13,-0.11,-0.32,0.25,0.41,-0.12,-0.05
246,1.23,0.12,0.00,-0.35,-0.46,0.32,-0.18,-0.05
247,0.97,0.12,0.05,-0.18,-1.05,0.18,-0.22,-0.06
248,0.19,0.12,0.06,0.16,-1.30,0.02,-0.24,-0.06
249,-0.59,0.11,-0.10,0.53,-1.14,-0.11,-0.22,-0.05
250,-1.17,0.12,-0.06,0.60,-0.66,-0.19,-0.17,-0.05
251,-1.46,0.12,0.02,0.28,-0.04,-0.21,-0.11,-0.04
252,-1.29,0.12,0.01,-0.10,0.53,-0.16,-0.05,-0.02
253,-0.70,0.12,0.03,-0.21,0.94,-0.06,-0.01,-0.01
254,-0.16,0.12,0.10,-0.11,1.10,0.08,0.03,0.01
255,0.38,0.11,-0.01,-0.10,0.99,0.20,0.04,0.03
256,0.59,0.11,0.01,-0.21,0.60,0.27,0.04,0.04
257,0.63,0.10,-0.05,-0.31,0.00,0.24,0.03,0.04
258,0.56,0.10,-0.04,-0.30,-0.63,0.13,0.01,0.04
259,0.36,0.09,0.00,-0.15,-1.09,-0.02,-0.01,0.03
260,-0.08,0.08,0.03,0.13,-1.20,-0.16,0.00,0.02
261,-0.85,0.08,0.01,0.37,-0.92,-0.26,0.03,0.01
262,-1.50,0.08,-0.09,0.44,-0.39,-0.32,0.09,0.01
263,-1.93,0.08,-0.02,0.32,0.23,-0.32,0.16,0.00
264,-1.69,0.08,-0.03,0.06,0.75,-0.25,0.22,0.01
265,-0.39,0.08,-0.03,-0.12,1.08,-0.11,0.26,0.01
266,0.38,0.07,0.32,-0.13,1.18,0.07,0.28,0.02
267,0.94,0.07,-0.02,-0.08,1.01,0.24,0.28,0.03
268,1.23,0.06,-0.11,-0.08,0.60,0.32,0.26,0.03
269,1.49,0.05,-0.08,-0.22,0.00,0.31,0.22,0.02
270,1.47,0.04,0.04,-0.45,-0.63,0.23,0.17,0.01
271,1.21,0.04,0.01,-0.44,-1.11,0.10,0.12,0.00
272,0.79,0.03,-0.03,0.06,-1.29,-0.02,0.09,-0.01
273,0.16,0.03,0.00,0.60,-1.12,-0.12,0.07,-0.02
274,-0.45,0.03,-0.03,0.64,-0.69,-0.19,0.08,-0.03
275,-1.32,0.03,0.05,0.32,-0.13,-0.22,0.10,-0.03
276,-1.17,0.03,-0.19,0.03,0.42,-0.17,0.11,-0.04
277,-0.54,0.03,0.09,-0.14,0.85,-0.08,0.11,-0.04
278,0.21,0.03,0.16,-0.20,1.11,0.04,0.10,-0.03
279,0.83,0.02,0.04,-0.18,1.11,0.12,0.06,-0.04
280,1.00,0.02,0.00,-0.10,0.80,0.12,0.01,-0.04
281,1.08,0.01,-0.11,-0.11,0.25,0.04,-0.05,-0.06
282,1.05,0.00,-0.03,-0.33,-0.45,-0.10,-0.12,-0.08
283,0.81,0.00,0.03,-0.41,-1.02,-0.24,-0.18,-0.10
284,0.33,-0.01,0.02,-0.10,-1.27,-0.35,-0.22,-0.12
285,-0.56,-0.01,0.02,0.36,-1.11,-0.42,-0.23,-0.14
286,-1.08,-0.01,-0.14,0.59,-0.62,-0.40,-0.21,-0.15
287,-1.69,-0.01,0.07,0.46,0.01,-0.30,-0.18,-0.16
288,-1.39,-0.01,-0.11,0.12,0.58,-0.12,-0.15,-0.16
289,-0.53,-0.01,0.07,-0.11,0.99,0.12,-0.12,-0.15
290,0.32,-0.02,0.16,-0.14,1.19,0.38,-0.10,-0.14
291,0.71,-0.02,0.07,-0.11,1.14,0.57,-0.09,-0.13
292,1.10,-0.03,-0.14,-0.15,0.86,0.67,-0.10,-0.13
293,1.27,-0.03,-0.03,-0.25,0.33,0.64,-0.13,-0.13
294,1.24,-0.04,0.01,-0.40,-0.34,0.51,-0.16,-0.13
295,1.03,-0.04,-0.01,-0.37,-0.96,0.32,-0.18,-0.13
296,0.47,-0.04,0.02,0.05,-1.32,0.11,-0.19,-0.13
297,0.01,-0.04,-0.08,0.51,-1.30,-0.08,-0.17,-0.13
298,-0.75,-0.04,0.06,0.57,-0.92,-0.21,-0.12,-0.13
299,-1.46,-0.04,-0.03,0.33,-0.33,-0.27,-0.07,-0.12
300,-1.01,-0.04,-0.19,0.07,0.30,-0.25,-0.01,-0.10
301,-0.50,-0.04,0.22,-0.09,0.82,-0.16,0.04,-0.08
302,0.35,-0.05,0.05,-0.17,1.12,-0.05,0.07,-0.06
303,0.97,-0.05,0.05,-0.17,1.14,0.05,0.09,-0.04
304,1.21,-0.06,0.00,-0.10,0.86,0.07,0.08,-0.03
305,1.20,-0.06,-0.07,-0.17,0.32,0.01,0.06,-0.02
306,1.13,-0.06,-0.07,-0.39,-0.36,-0.13,0.03,-0.02
307,0.95,-0.07,0.01,-0.36,-0.94,-0.30,0.00,-0.02
308,0.40,-0.07,0.06,-0.01,-1.22,-0.45,0.00,-0.02
309,-0.44,-0.06,-0.01,0.37,-1.13,-0.54,0.02,-0.02
310,-1.50,-0.06,-0.04,0.57,-0.70,-0.56,0.06,-0.02
311,-1.64,-0.06,-0.19,0.46,-0.11,-0.49,0.11,-0.01
312,-1.50,-0.06,0.13,0.10,0.46,-0.32,0.16,0.01
313,-0.41,-0.06,-0.01,-0.17,0.90,-0.08,0.20,0.03
314,0.10,-0.06,0.25,-0.17,1.14,0.20,0.23,0.06
315,0.59,-0.06,-0.08,-0.05,1.12,0.45,0.23,0.08
316,1.08,-0.06,-0.11,-0.08,0.85,0.61,0.20,0.10
317,1.15,-0.06,0.06,-0.34,0.31,0.65,0.16,0.11
318,1.13,-0.06,-0.04,-0.53,-0.35,0.58,0.10,0.11
319,0.82,-0.06,0.00,-0.33,-0.93,0.43,0.05,0.10
320,0.53,-0.06,-0.04,0.18,-1.26,0.26,0.01,0.10
321,0.01,-0.05,0.04,0.55,-1.20,0.09,0.00,0.09
322,-0.99,-0.05,0.06,0.52,-0.80,-0.04,0.00,0.09
323,-1.22,-0.04,-0.22,0.31,-0.21,-0.11,0.02,0.09
324,-1.06,-0.03,0.05,0.10,0.40,-0.12,0.03,0.10
325,-0.08,-0.03,0.03,-0.12,0.89,-0.06,0.03,0.11
326,0.52,-0.03,0.22,-0.23,1.17,0.04,0.01,0.12
327,1.01,-0.03,-0.03,-0.14,1.16,0.14,-0.03,0.12
328,1.40,-0.03,-0.09,-0.04,0.83,0.17,-0.08,0.12
329,1.40,-0.02,0.02,-0.20,0.24,0.11,-0.14,0.11
330,1.35,-0.02,-0.06,-0.45,-0.47,-0.02,-0.21,0.10
331,0.99,-0.02,0.02,-0.37,-1.07,-0.19,-0.26,0.08
332,0.52,-0.01,-0.02,0.08,-1.33,-0.34,-0.27,0.06
333,-0.22,0.00,0.02,0.47,-1.19,-0.46,-0.26,0.04
334,-2.19,0.01,0.16,0.52,-0.72,-0.51,-0.22,0.03
335,-2.95,0.02,-0.42,0.35,-0.10,-0.49,-0.16,0.02
336,-1.74,0.02,-0.18,0.11,0.48,-0.38,-0.10,0.02
337,-1.14,0.02,0.61,-0.14,0.93,-0.20,-0.04,0.02
338,0.30,0.02,-0.10,-0.25,1.16,0.02,0.01,0.03
339,0.73,0.02,0.14,0.00,1.14,0.22,0.04,0.04
340,0.90,0.02,-0.13,0.20,0.84,0.35,0.05,0.04
341,1.01,0.02,-0.14,-0.32,0.29,0.37,0.05,0.04
342,0.98,0.03,0.01,-0.94,-0.37,0.30,0.04,0.03
343,0.88,0.03,0.03,-0.66,-0.94,0.17,0.03,0.01
344,0.05,0.03,0.12,0.18,-1.21,0.04,0.04,0.00
345,-0.66,0.04,-0.15,0.81,-1.13,-0.07,0.07,-0.01
346,-1.19,0.05,-0.05,0.94,-0.74,-0.13,0.11,-0.02
347,-2.00,0.05,0.13,0.49,-0.19,-0.14,0.14,-0.02
348,-1.46,0.06,-0.23,-0.09,0.38,-0.08,0.17,-0.02
349,-0.47,0.06,0.14,-0.28,0.90,0.05,0.18,-0.01
350,0.27,0.06,0.23,-0.20,1.24,0.21,0.17,0.00
351,0.72,0.06,-0.02,-0.17,1.32,0.34,0.14,0.01
352,1.00,0.06,-0.11,-0.17,1.03,0.39,0.09,0.02
353,1.11,0.06,-0.04,-0.22,0.30,0.33,0.02,0.02
354,1.04,0.06,0.01,-0.43,-0.61,0.19,-0.06,0.02
355,0.82,0.07,0.00,-0.40,-1.40,0.00,-0.14,0.01
356,0.31,0.07,0.02,0.12,-1.78,-0.19,-0.18,0.00
357,-0.23,0.08,-0.04,0.60,-1.53,-0.34,-0.20,0.00
358,-0.92,0.08,0.01,0.61,-0.86,-0.44,-0.19,0.00
359,-1.08,0.09,-0.09,0.33,-0.02,-0.46,-0.16,0.00
360,-0.85,0.09,0.03,0.02,0.75,-0.39,-0.13,0.01
361,-0.47,0.09,0.10,-0.17,1.25,-0.25,-0.09,0.03
362,0.26,0.09,-0.02,-0.19,1.47,-0.06,-0.06,0.04
363,0.76,0.08,0.07,-0.14,1.36,0.11,-0.04,0.06
364,1.20,0.08,-0.03,-0.15,0.95,0.22,-0.03,0.08
365,1.15,0.08,0.03,-0.25,0.28,0.22,-0.03,0.08
366,1.06,0.08,-0.09,-0.29,-0.52,0.14,-0.04,0.08
367,0.87,0.08,-0.02,-0.15,-1.15,0.03,-0.04,0.07
368,0.45,0.09,0.04,0.07,-1.43,-0.08,-0.02,0.07
