sl.no,Original Signal,Approximation,D 1,D 2,D 3,D 4,D 5,D 6
160,-0.67,0.35,0.68,0.03,0.71,-0.01,0.05,-0.03
161,0.3,0.34,-0.44,-0.36,0.71,0.13,0.07,-0.02
162,0.89,0.34,0.18,-0.47,0.5,0.26,0.07,-0.01
163,1.98,0.33,0.01,-0.13,0.21,0.35,0.06,-0.01
164,1.41,0.33,0.3,0.11,-0.06,0.39,0.04,0
165,0.98,0.33,-0.32,-0.02,-0.34,0.37,0.02,0
166,0.38,0.33,-0.1,-0.03,-0.58,0.28,0,0
167,-0.67,0.33,0.12,-0.06,-0.75,0.17,-0.01,-0.01
168,0.36,0.33,-0.38,-0.21,-0.77,0.08,-0.01,-0.01
169,0.07,0.32,0.57,0.07,-0.5,0.03,0,0
170,-0.67,0.32,0.02,0.56,-0.05,0.02,0.03,0
171,-0.39,0.32,-0.43,0.59,0.41,0.06,0.06,0.01
172,-0.67,0.31,0.23,0.21,0.75,0.08,0.08,0.02
173,0.53,0.31,-0.21,-0.39,0.82,0.07,0.07,0.02
174,0.62,0.31,0.38,-0.81,0.65,0.05,0.04,0.02
175,1.63,0.3,-0.25,-0.4,0.44,0,0.01,0.03
176,1.15,0.3,0.27,0.28,0.13,-0.07,-0.03,0.02
177,1.07,0.3,-0.26,0.3,-0.22,-0.15,-0.06,0.02
178,0.62,0.3,0.01,-0.03,-0.54,-0.27,-0.09,0.01
179,-0.12,0.3,0.05,-0.18,-0.83,-0.4,-0.1,0
180,1.16,0.31,-0.38,-0.1,-0.89,-0.47,-0.09,0
181,-0.67,0.31,0.86,0.18,-0.61,-0.43,-0.06,0
182,-0.67,0.31,-0.68,0.41,-0.1,-0.31,-0.01,0
183,-0.92,0.31,0.05,0.39,0.44,-0.16,0.04,0.01
184,-0.51,0.31,0.06,0.1,0.83,-0.02,0.07,0.01
185,-0.67,0.31,0.21,-0.39,0.86,0.09,0.09,0.02
186,0.76,0.31,-0.35,-0.5,0.61,0.18,0.08,0.03
187,1.32,0.31,0.35,0.01,0.29,0.26,0.05,0.03
188,1.29,0.31,0.06,0.2,-0.08,0.27,0.03,0.03
189,0.59,0.31,-0.12,-0.15,-0.38,0.19,0.01,0.02
190,0.12,0.31,-0.22,-0.19,-0.58,0.05,-0.01,0.02
191,-0.51,0.32,0.07,-0.09,-0.74,-0.09,-0.02,0.01
192,0.78,0.32,-0.26,-0.17,-0.72,-0.19,-0.03,0
193,-0.51,0.32,0.77,0.1,-0.46,-0.2,-0.02,0
194,0.6,0.32,-0.7,0.6,-0.05,-0.16,0,0
195,-0.2,0.32,0.46,0.67,0.37,-0.09,0.02,0
196,0.38,0.32,-0.34,0.18,0.71,0,0.02,0.01
197,-0.51,0.32,0.31,-0.51,0.79,0.1,-0.01,0.01
198,0.42,0.32,-0.44,-0.71,0.69,0.2,-0.05,0.01
199,1.31,0.32,0.21,-0.27,0.54,0.27,-0.1,0.01
200,1.51,0.33,0.27,0.09,0.23,0.29,-0.15,0.01
201,0.68,0.33,0,0.17,-0.14,0.23,-0.18,0
202,-0.51,0.33,-0.24,0.3,-0.54,0.13,-0.2,-0.01
203,-0.06,0.34,-0.39,0.2,-0.92,0.01,-0.21,-0.01
204,-0.2,0.34,0.44,-0.28,-1.02,-0.09,-0.2,-0.02
205,-0.51,0.34,0.11,-0.45,-0.74,-0.11,-0.17,-0.02
206,-0.51,0.35,-0.18,0.15,-0.22,-0.07,-0.13,-0.01
207,-0.67,0.35,0.04,0.77,0.38,-0.02,-0.08,0
208,-0.67,0.35,-0.01,0.44,0.79,0.05,-0.03,0.01
209,-0.39,0.35,-0.03,-0.41,0.81,0.11,0,0.02
210,0.92,0.35,-0.11,-0.63,0.59,0.16,0.01,0.03
211,1.27,0.36,0.36,-0.23,0.28,0.19,0.03,0.03
212,0.98,0.36,-0.01,0.05,-0.01,0.17,0.04,0.03
213,0.84,0.36,-0.27,0.16,-0.16,0.07,0.06,0.03
214,0.92,0.37,-0.05,0.17,-0.27,-0.09,0.09,0.02
215,0.26,0.38,0.23,-0.13,-0.4,-0.24,0.13,0.01
216,0.41,0.38,-0.22,-0.29,-0.47,-0.35,0.17,0
217,0.42,0.39,0.1,0.13,-0.4,-0.37,0.21,0
218,0.43,0.39,0.06,0.55,-0.15,-0.31,0.26,0
219,0.44,0.39,-0.02,0.35,0.21,-0.23,0.31,0.01
220,0.45,0.39,-0.02,-0.04,0.51,-0.1,0.34,0.01
221,0.12,0.39,0.05,-0.19,0.59,0.04,0.34,0.02
222,0.89,0.39,-0.24,-0.31,0.46,0.18,0.32,0.03
223,0.79,0.4,0.31,-0.31,0.2,0.3,0.29,0.03
224,1.93,0.4,-0.26,-0.1,-0.08,0.35,0.25,0.03
225,0.92,0.4,0.47,0.1,-0.31,0.3,0.21,0.03
226,0.12,0.41,-0.32,0.19,-0.51,0.19,0.17,0.02
227,0.76,0.41,-0.39,0.13,-0.63,0.05,0.13,0.02
228,0.78,0.42,0.44,-0.09,-0.64,-0.1,0.09,0.01
229,0.8,0.42,0.06,-0.24,-0.43,-0.19,0.07,0.02
230,-0.12,0.42,0.05,0,-0.04,-0.23,0.06,0.02
231,0.73,0.43,-0.48,0.49,0.38,-0.23,0.04,0.03
232,-0.67,0.43,0.63,0.4,0.7,-0.2,0.02,0.04
233,0.01,0.43,-0.56,-0.34,0.75,-0.15,-0.01,0.05
234,1.31,0.43,0.05,-0.52,0.57,-0.08,-0.06,0.05
235,1.07,0.43,0.57,-0.03,0.32,-0.01,-0.11,0.06
236,1.25,0.44,-0.32,0.16,0.04,0.06,-0.16,0.06
237,0.49,0.44,0.02,0.13,-0.17,0.08,-0.2,0.05
238,-0.51,0.45,-0.06,0.13,-0.3,0.05,-0.23,0.04
239,0.45,0.45,-0.4,-0.24,-0.43,0,-0.26,0.03
240,0.45,0.46,0.53,-0.49,-0.46,-0.03,-0.27,0.02
241,0.45,0.46,0.02,0.02,-0.37,0,-0.25,0.01
242,0.45,0.46,-0.15,0.58,-0.2,0.07,-0.22,0.01
243,-0.39,0.46,0.11,0.61,0.07,0.15,-0.19,0.01
244,-0.2,0.46,-0.3,0.1,0.26,0.21,-0.15,0.02
245,0.12,0.46,0.11,-0.6,0.33,0.24,-0.14,0.03
246,1.03,0.46,0.05,-0.63,0.31,0.26,-0.14,0.03
247,1.51,0.46,0.17,-0.05,0.25,0.26,-0.14,0.03
248,1.51,0.46,0.01,0.36,0.14,0.21,-0.14,0.04
249,0.65,0.46,-0.02,0.39,0.02,0.09,-0.14,0.03
250,0.07,0.46,-0.24,0.05,-0.14,-0.07,-0.13,0.03
251,-0.06,0.46,-0.05,-0.39,-0.41,-0.25,-0.12,0.02
252,0.78,0.47,0.01,-0.41,-0.48,-0.39,-0.11,0.02
253,-0.2,0.47,0.53,0,-0.36,-0.44,-0.06,0.02
254,-0.28,0.47,-0.43,0.5,-0.12,-0.43,-0.01,0.02
255,-0.51,0.47,-0.02,0.68,0.26,-0.37,0.04,0.02
256,-0.39,0.47,0.03,0.19,0.41,-0.27,0.08,0.03
257,-0.2,0.47,0.06,-0.56,0.34,-0.15,0.1,0.03
258,0.82,0.46,-0.11,-0.66,0.23,-0.02,0.1,0.04
259,0.92,0.46,0.29,-0.06,0.06,0.11,0.1,0.04
260,1.31,0.46,-0.16,0.29,0.01,0.22,0.08,0.04
261,0.35,0.46,0.16,0.13,-0.01,0.27,0.07,0.03
262,-0.29,0.46,-0.26,-0.05,-0.15,0.25,0.06,0.02
263,0.48,0.46,-0.26,-0.17,-0.33,0.19,0.05,0.01
264,0.52,0.47,0.46,-0.19,-0.46,0.13,0.05,0
265,0.57,0.47,0.01,0.06,-0.37,0.09,0.07,-0.01
266,-0.67,0.46,0.09,0.44,-0.06,0.09,0.1,-0.01
267,-0.29,0.46,-0.52,0.58,0.31,0.11,0.12,-0.01
268,-0.51,0.46,0.31,0.11,0.57,0.12,0.14,0
269,-0.67,0.45,0.07,-0.62,0.56,0.1,0.13,0
270,0.59,0.45,-0.29,-0.6,0.39,0.11,0.1,0
271,1.69,0.45,0.26,0.11,0.19,0.14,0.07,0
272,1.56,0.44,0.29,0.41,-0.04,0.15,0.04,0
273,1.13,0.44,-0.25,0.1,-0.21,0.13,0.01,-0.01
274,1.09,0.44,-0.26,-0.11,-0.41,0.06,-0.02,-0.02
275,1.11,0.44,0.09,-0.2,-0.6,-0.05,-0.05,-0.04
276,0.01,0.44,0.29,-0.43,-0.61,-0.12,-0.06,-0.05
277,0.01,0.44,-0.37,-0.17,-0.42,-0.13,-0.05,-0.06
278,0.83,0.43,-0.04,0.59,-0.06,-0.11,-0.03,-0.06
279,-0.92,0.43,0.7,0.73,0.32,-0.1,-0.01,-0.06
280,-0.12,0.42,-0.82,0.13,0.51,-0.1,0.01,-0.06
281,-0.39,0.42,0.36,-0.17,0.51,-0.11,0.01,-0.06
282,1.11,0.42,-0.2,-0.19,0.39,-0.11,0,-0.07
283,1.49,0.41,0.39,-0.44,0.28,-0.07,-0.02,-0.07
284,1.23,0.41,0.01,-0.36,0.22,-0.06,-0.04,-0.08
285,1.07,0.41,-0.28,0.19,0.09,-0.09,-0.05,-0.09
286,0.3,0.41,0.06,0.22,-0.14,-0.16,-0.05,-0.11
287,-0.25,0.41,-0.08,-0.24,-0.48,-0.22,-0.05,-0.12
288,-0.19,0.41,-0.08,-0.32,-0.75,-0.23,-0.04,-0.14
289,-0.06,0.41,0.14,0.11,-0.75,-0.16,-0.02,-0.14
290,-0.92,0.4,0.23,0.55,-0.46,-0.07,0.01,-0.14
291,-0.67,0.4,-0.39,0.55,0.05,0.03,0.05,-0.14
292,-0.51,0.4,0.11,0.21,0.52,0.11,0.07,-0.14
293,0.07,0.39,0.04,-0.25,0.79,0.17,0.07,-0.13
294,0.82,0.39,0.03,-0.61,0.82,0.24,0.05,-0.13
295,1.49,0.38,0.04,-0.4,0.61,0.3,0.02,-0.13
296,1.15,0.38,0.14,0.08,0.35,0.3,-0.01,-0.13
297,1.46,0.38,-0.32,0.14,-0.02,0.21,-0.04,-0.13
298,0.96,0.38,0.17,-0.04,-0.43,0.09,-0.07,-0.13
299,-0.92,0.38,0.18,-0.1,-0.72,-0.06,-0.09,-0.14
300,-0.92,0.38,-0.61,-0.03,-0.91,-0.16,-0.11,-0.14
301,0.52,0.38,0.02,0.24,-0.76,-0.19,-0.12,-0.14
302,0.58,0.37,0.72,0.38,-0.32,-0.17,-0.11,-0.12
303,-0.2,0.37,-0.03,0.2,0.19,-0.14,-0.11,-0.11
304,0.17,0.37,-0.57,0.25,0.64,-0.09,-0.1,-0.09
305,0.22,0.36,0.19,0.25,0.82,-0.03,-0.11,-0.08
306,0.49,0.36,0.08,-0.6,0.7,0.05,-0.12,-0.06
307,1.59,0.36,-0.13,-1.15,0.43,0.12,-0.14,-0.05
308,1.57,0.36,0.33,-0.26,0.08,0.15,-0.15,-0.04
309,1.23,0.36,-0.09,0.68,-0.28,0.09,-0.15,-0.03
310,-0.67,0.36,0.07,0.55,-0.58,-0.01,-0.14,-0.03
311,-0.06,0.36,-0.69,0.1,-0.8,-0.12,-0.12,-0.03
312,0.53,0.36,0.39,-0.2,-0.84,-0.2,-0.1,-0.02
313,0.53,0.36,0.38,-0.34,-0.58,-0.24,-0.05,-0.01
314,-0.39,0.36,-0.01,0.03,-0.04,-0.21,0,0.01
315,0.27,0.36,-0.55,0.68,0.54,-0.14,0.06,0.03
316,-0.67,0.35,0.48,0.54,0.97,-0.07,0.11,0.04
317,-0.29,0.35,-0.32,-0.48,1.03,0.04,0.14,0.06
318,1.49,0.34,-0.15,-0.93,0.68,0.15,0.17,0.08
319,1.03,0.34,0.74,-0.22,0.19,0.25,0.18,0.1
320,1.31,0.34,-0.43,0.38,-0.23,0.31,0.2,0.11
321,1.13,0.34,-0.07,0.35,-0.53,0.31,0.2,0.11
322,0.22,0.34,0.13,0.19,-0.6,0.24,0.2,0.11
323,-0.39,0.34,-0.17,-0.26,-0.57,0.14,0.19,0.11
324,0.29,0.34,-0.2,-0.5,-0.51,0.05,0.19,0.11
325,-0.51,0.34,0.54,0.06,-0.28,0.01,0.19,0.12
326,-0.29,0.34,-0.32,0.52,0.05,0,0.2,0.13
327,0.12,0.34,-0.03,0.43,0.38,0.01,0.21,0.14
328,-0.39,0.34,0.28,0.26,0.63,0.04,0.2,0.15
329,-0.39,0.33,-0.24,-0.21,0.59,0.06,0.18,0.16
330,1.19,0.33,-0.27,-0.59,0.35,0.07,0.15,0.16
331,1.38,0.33,0.58,-0.33,0.12,0.08,0.12,0.17
332,1.25,0.33,-0.07,-0.08,-0.11,0.05,0.09,0.16
333,1.38,0.33,-0.29,0.06,-0.24,-0.04,0.06,0.16
334,-0.51,0.34,0.35,0.34,-0.31,-0.15,0.03,0.14
335,0.31,0.34,-0.73,0.11,-0.5,-0.27,-0.01,0.13
336,0.3,0.34,0.48,-0.33,-0.58,-0.37,-0.03,0.12
337,0.3,0.35,0.14,-0.09,-0.43,-0.41,-0.04,0.11
338,0.29,0.35,-0.11,0.4,-0.14,-0.36,-0.03,0.11
339,-0.67,0.35,0.1,0.55,0.33,-0.25,-0.01,0.11
340,-0.92,0.35,-0.28,0.29,0.71,-0.13,0,0.11
341,0.17,0.35,-0.16,-0.41,0.74,-0.02,0.01,0.11
342,0.35,0.35,0.49,-0.77,0.56,0.07,0,0.11
343,1.87,0.35,-0.28,-0.32,0.26,0.14,-0.01,0.11
344,1.17,0.35,0.45,0.28,-0.11,0.2,-0.02,0.1
345,0.46,0.35,-0.31,0.49,-0.36,0.23,-0.03,0.09
346,0.07,0.35,-0.26,0.13,-0.51,0.16,-0.06,0.08
347,-0.2,0.35,0.1,-0.42,-0.68,0.05,-0.08,0.06
348,-0.92,0.36,0.19,-0.48,-0.64,-0.04,-0.11,0.05
349,-0.67,0.36,-0.23,0.01,-0.36,-0.05,-0.12,0.04
350,0.04,0.36,0.05,0.64,-0.02,0,-0.11,0.04
351,-0.92,0.36,0.44,0.75,0.44,0.08,-0.09,0.04
352,-0.39,0.36,-0.54,0.11,0.71,0.14,-0.08,0.04
353,0.12,0.36,0.09,-0.37,0.65,0.15,-0.09,0.04
354,1.11,0.35,0.09,-0.44,0.51,0.17,-0.11,0.05
355,1.6,0.35,0.16,-0.52,0.24,0.2,-0.14,0.05
356,1.43,0.35,0.01,-0.24,0.02,0.19,-0.16,0.05
357,1.17,0.36,-0.18,0.35,-0.1,0.13,-0.19,0.04
358,0.62,0.36,-0.01,0.33,-0.36,0.01,-0.21,0.03
359,0.07,0.36,-0.01,-0.12,-0.61,-0.13,-0.24,0.03
360,0.12,0.36,-0.09,-0.18,-0.74,-0.22,-0.25,0.02
361,0.69,0.36,0.05,0.15,-0.66,-0.22,-0.24,0.02
362,-0.51,0.36,0.44,0.42,-0.21,-0.16,-0.2,0.02
363,0.52,0.36,-0.67,0.38,0.35,-0.09,-0.14,0.03
364,0.17,0.36,0.44,0.11,0.75,-0.01,-0.09,0.03
365,0.38,0.35,-0.11,-0.28,0.87,0.05,-0.05,0.04
366,0.56,0.35,-0.04,-0.58,0.65,0.09,-0.02,0.05
367,1.39,0.35,-0.08,-0.36,0.23,0.13,-0.01,0.05
368,1.48,0.35,0.24,0.08,-0.14,0.14,0.01,0.06
369,1.32,0.34,-0.05,0.11,-0.45,0.07,0.02,0.05
370,1.07,0.34,-0.12,0.08,-0.68,-0.04,0.04,0.04
371,1.14,0.34,-0.08,0.18,-0.74,-0.17,0.05,0.03
372,-0.51,0.34,0.37,0,-0.67,-0.27,0.07,0.02
373,-0.51,0.34,-0.53,-0.15,-0.39,-0.28,0.1,0.01
374,0.38,0.34,0.01,0.11,0.11,-0.21,0.16,0.01
375,0.34,0.33,0.51,0.28,0.57,-0.12,0.21,0.01
376,0.07,0.33,-0.08,0.1,0.89,-0.03,0.25,0.01
377,0.01,0.32,-0.24,0.07,0.91,0.05,0.27,0.01
